id,sec-code,filer-name,description
S100H4YY,95130,電源開発株式会社,四半期報告書－第68期第2四半期(2019/07/01－2019/09/30)
S100H7C6,19480,株式会社弘電社,四半期報告書－第141期第2四半期(2019/07/01－2019/09/30)
S100H63Y,79390,株式会社研創,四半期報告書－第49期第2四半期(2019/07/01－2019/09/30)
S100H74P,45510,鳥居薬品株式会社,四半期報告書－第128期第3四半期(2019/07/01－2019/09/30)
S100H2EE,67240,セイコーエプソン株式会社,四半期報告書－第78期第2四半期(2019/07/01－2019/09/30)
S100H7KM,59330,アルインコ株式会社,四半期報告書－第50期第2四半期(2019/06/21－2019/09/20)
S100H6Y0,63820,トリニティ工業株式会社,四半期報告書－第86期第2四半期(2019/07/01－2019/09/30)
S100H79Y,69280,株式会社エノモト,四半期報告書－第54期第2四半期(2019/07/01－2019/09/30)
S100H7LX,77410,ＨＯＹＡ株式会社,四半期報告書－第82期第2四半期(2019/07/01－2019/09/30)
S100H7GP,99500,株式会社ハチバン,四半期報告書－第50期第2四半期(2019/06/21－2019/09/20)
S100H70M,78570,セキ株式会社,四半期報告書－第71期第2四半期(2019/07/01－2019/09/30)
S100H70Z,,日本ユピカ株式会社,四半期報告書－第43期第2四半期(2019/07/01－2019/09/30)
S100H6BS,88180,京阪神ビルディング株式会社,四半期報告書－第97期第2四半期(2019/07/01－2019/09/30)
S100H7KH,68700,日本フェンオール株式会社,四半期報告書－第59期第3四半期(2019/07/01－2019/09/30)
S100H7AT,92670,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ株式会社,四半期報告書－第3期第1四半期(2019/06/21－2019/09/20)
S100H7OJ,19670,株式会社ヤマト,四半期報告書－第75期第2四半期(2019/06/21－2019/09/20)
S100H77Y,,株式会社エス・ディー・エス　バイオテック,四半期報告書－第52期第2四半期(2019/07/01－2019/09/30)
S100H7KS,13810,株式会社アクシーズ,四半期報告書－第58期第1四半期(2019/07/01－2019/09/30)
S100H7G8,52010,ＡＧＣ株式会社,四半期報告書－第95期第3四半期(2019/07/01－2019/09/30)
S100H7PF,41070,伊勢化学工業株式会社,四半期報告書－第99期第3四半期(2019/07/01－2019/09/30)
S100H7M5,68660,日置電機株式会社,四半期報告書－第68期第3四半期(2019/07/01－2019/09/30)
S100H7MA,61610,株式会社エスティック,四半期報告書－第27期第2四半期(2019/06/21－2019/09/20)
S100H7DA,,ワタベウェディング株式会社,四半期報告書－第56期第2四半期(2019/07/01－2019/09/30)
S100H7P1,45560,株式会社カイノス,四半期報告書－第45期第2四半期(2019/07/01－2019/09/30)
S100H7J9,,ＮＴＴファイナンス株式会社,四半期報告書－第35期第2四半期(2019/07/01－2019/09/30)
S100H7NM,46260,太陽ホールディングス株式会社,四半期報告書－第74期第2四半期(2019/07/01－2019/09/30)
S100H7K9,72760,株式会社小糸製作所,四半期報告書－第120期第2四半期(2019/07/01－2019/09/30)
S100H7MJ,,大都魚類株式会社,四半期報告書－第74期第2四半期(2019/07/01－2019/09/30)
S100H7HK,90400,大宝運輸株式会社,四半期報告書－第69期第2四半期(2019/06/21－2019/09/20)
S100H7L1,45060,住友ファーマ株式会社,四半期報告書－第200期第2四半期(2019/07/01－2019/09/30)
