"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","38741","10928283","2.82","100","6.91","0.72","512.87","4947.28","354500","100","20240207","4120","20230320","3370"
"130A","Veritas_In_Silico","東証GR","医薬品","13189","6301314","0","0","106.62","7.31","19.63","286.41","209300","100","20240215","3475","20240301","2000"
"1332","ニッスイ","東証PR","水産・農林","297152","312430277","2.52","24","12.59","1.2","75.52","794.96","95110","100","20240228","963","20230113","517"
"1333","マルハニチロ","東証PR","水産・農林","148221","50578837","2.39","70","6.72","0.72","436.2","4086.84","293050","100","20240207","3042","20230320","2333"
"135A","VRAIN_Solution","東証GR","情報通信","60053","10110000","0","0","181.99","175.58","32.64","33.83","594000","100","20240228","6980","20240222","4970"
"1375","雪国まいたけ","東証PR","水産・農林","39991","39910700","0.2","2","51.23","3.27","19.56","306.39","100200","100","20230307","1057","20230821","867"
"1376","カネコ種苗","東証ST","水産・農林","16646","11772626","2.19","31","11.17","0.69","126.64","2057.93","141400","100","20230404","1709","20240112","1366"
"1377","サカタのタネ","東証PR","水産・農林","173286","47410750","1.5","55","10.46","1.1","349.5","3324.76","365500","100","20230926","4495","20240208","3470"
"1379","ホクト","東証PR","水産・農林","60180","33359040","-","-","81.7","1.1","22.08","1642.38","180400","100","20230131","1902","20231213","1708"
"137A","Cocolive","東証GR","情報通信","7200","2918600","0","0","47.06","23.76","52.42","103.82","246700","100","20240228","4080","20240301","2445"
"1380","秋川牧園","東証ST","水産・農林","4396","4179000","0.95","10","43.85","1.98","23.99","531.24","105200","100","20230928","1094","20231220","1024"
"1381","アクシーズ","東証ST","水産・農林","16881","5617500","3.16","95","16.88","0.84","178.07","3562.15","300500","100","20230627","3270","20230217","2828"
"1382","ホーブ","東証ST","水産・農林","1699","762000","2.24","50","25.74","2.21","86.65","1009.66","223000","100","20230912","4635","20230111","1664"
"1383","ベルグアース","東証ST","水産・農林","5435","1610500","0.3","10","70.01","2.65","48.21","1273.11","337500","100","20230403","3475","20230104","2886"
"1384","ホクリヨウ","東証ST","水産・農林","8840","8459000","3.83","40","5.68","0.71","183.95","1467.92","104500","100","20230925","1205","20230104","702"
"138A","光フードサービス","東証GR","小売","5218","992000","0","0","25.7","14.37","204.64","365.92","526000","100","20240229","6850","20240301","5260"
"1401","エムビーエス","東証GR","建設","5722","7732000","1.08","8","14.84","1.64","49.86","450.14","74000","100","20240208","835","20230113","466"
"1407","ウエストホールディングス","東証ST","建設","132789","46027488","1.91","55","15.77","3.91","182.93","738.05","288500","100","20230113","4730","20230818","2324"
"1414","ショーボンドホールディングス","東証PR","建設","360332","56745180","2.02","128","25.03","3.34","253.73","1900.47","635000","100","20240117","6929","20230217","5170"
"1417","ミライト・ワン","東証PR","建設","176530","94325329","3.47","65","12.63","0.73","148.19","2580.83","187150","100","20230919","2058","20230213","1468"
"1418","インターライフホールディングス","東証ST","建設","4282","20010529","2.34","5","11.06","0.96","19.35","222.7","21400","100","20230417","318","20230316","159"
"1419","タマホーム","東証PR","建設","124303","29455800","4.38","185","13.3","3.88","317.37","1086.99","422000","100","20240111","4325","20230110","2422"
"1420","サンヨーホームズ","東証ST","建設","9717","12620000","3.25","25","17.83","0.63","43.18","1223.92","77000","100","20230127","790","20230412","701"
"1429","日本アクア","東証PR","建設","36811","34760000","3.21","34","15.9","3.57","66.61","296.24","105900","100","20230914","1125","20230117","774"
"1430","ファーストコーポレーション","東証ST","建設","10624","13363540","3.9","31","7.71","1.19","103.11","666.52","79500","100","20230509","963","20230718","690"
"1431","Lib_Work","東証GR","建設","18469","23892040","0.83","6.4","46.01","5.01","16.8","154.17","77300","100","20240227","877","20230106","748"
"1433","ベステラ","東証PR","建設","9727","8990200","1.85","20","33.64","2.53","32.16","427.26","108200","100","20230613","1341","20230314","851"
"1434","JESCOホールディングス","東証ST","建設","6289","6934100","3.31","30","5.18","1.15","175.02","791.79","90700","100","20240202","1021","20230104","439"
"1435","Robot_Home","東証ST","不動産","14216","91127000","1.28","2","20.03","1.63","7.79","95.58","15600","100","20230414","258","20240301","156"
"1436","フィット","東証GR","建設","3890","4284200","1.32","12","10.28","0.77","88.33","1180.86","90800","100","20230411","1286","20230104","656"
"1438","岐阜造園","東証ST","建設","5512","3204600","1.74","30","18.31","1.53","93.94","1127.58","172000","100","20230921","1870","20230112","994"
"1439","安江工務店","東証ST","建設","1802","1351560","3","40","8.6","1.01","154.96","1322.83","133300","100","20230203","1796","20230314","942"
"1443","技研ホールディングス","東証ST","建設","3637","16237977","0.45","1","11.36","0.34","19.71","650.09","22400","100","20230130","313","20230105","203"
"1444","ニッソウ","東証GR","建設","2734","1088700","0","0","18.58","1.79","135.12","1401.8","251100","100","20240129","3000","20230130","1954"
"1446","キャンディル","東証ST","建設","6194","10734200","1.39","8","23.09","1.97","24.99","292.99","57700","100","20230904","649","20230130","492"
"1447","ITbookホールディングス","東証GR","建設","6980","24152701","0","0","13.95","3.07","20.72","94.15","28900","100","20230221","436","20231228","233"
"1450","田中建設工業","東証ST","建設","9761","4349800","3.25","73","10.33","1.51","217.27","1490.76","224400","100","20230329","2780","20231225","1905"
"1451","KHC","東証ST","建設","2988","4005350","4.69","35","9.69","0.47","77","1580.3","74600","100","20240111","780","20230106","603"
"1491","中外鉱業","東証ST","非鉄金属","8982","289747982","-","-","19.87","1.26","1.56","24.7","3100","100","20230512","36","20230104","28"
"1514","住石ホールディングス","東証ST","鉱業","174441","58892853","0.68","20","27.07","6.16","109.43","480.74","296200","100","20240301","3060","20230403","303"
"1515","日鉄鉱業","東証PR","鉱業","84191","16704638","3.35","169","11.98","0.61","420.76","8306.76","504000","100","20231129","5730","20230105","3130"
"1518","三井松島ホールディングス","東証PR","鉱業","41414","13064400","3.15","100","2.86","0.59","1106.75","5352.71","317000","100","20230221","4105","20230619","2475"
"1605","INPEX","東証PR","鉱業","2603893","1259136067","3.68","76","7.89","0.63","262.27","3289.78","206800","100","20230928","2368","20230105","1301"
"1662","石油資源開発","東証PR","鉱業","332316","54300076","4.08","250","7.37","0.7","830.52","8734.88","612000","100","20240129","6300","20230105","3590"
"1663","K＆Oエナジーグループ","東証PR","鉱業","67241","28336061","1.69","40","13.74","0.7","172.73","3386.39","237300","100","20230929","2737","20230106","1887"
"1711","SDSホールディングス","東証ST","建設","4566","9452773","0","0","-","8.81","-13.74","54.85","48300","100","20240221","548","20231016","215"
"1712","ダイセキ環境ソリューション","東証ST","建設","16491","16827120","1.22","12","9.28","1.02","105.58","963.06","98000","100","20230714","1445","20230407","793"
"1716","第一カッター興業","東証ST","建設","16884","12000000","2.49","35","8.5","0.93","165.5","1506.27","140700","100","20240213","1498","20230116","1000"
"1717","明豊ファシリティワークス","東証ST","サービス","11728","12775900","3.87","35.5","14.26","2.18","64.38","420.31","91800","100","20240220","958","20230116","690"
"1718","美樹工業","東証ST","建設","5703","1153263","4.04","200","7.72","0.35","640.41","14026.2","494500","100","20240214","5190","20230117","3800"
"1719","安藤・間","東証PR","建設","224285","181021197","4.84","60","14.26","1.37","86.87","902.47","123900","100","20240208","1280","20230106","819"
