"SC","名称","市場","業種","時価総額（百万円）","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","40380","10928283","2.44","90","6.6","0.82","559.88","4525.41","369500","100","20230920","4090","20230320","3370"
"1332","ニッスイ","東証PR","水産・農林","218982","312430277","2.85","20","10.15","0.97","69.08","720.51","70090","100","20230817","789","20230113","517"
"1333","マルハニチロ","東証PR","水産・農林","125891","50578837","2.81","70","6.79","0.68","366.7","3646.06","248900","100","20230926","2688","20230320","2333"
"1375","雪国まいたけ","東証PR","水産・農林","35161","39910700","0.23","2","290.76","3.55","3.03","248.03","88100","100","20230307","1057","20230821","867"
"1376","カネコ種苗","東証ST","水産・農林","16387","11772626","2.23","31","10.99","0.68","126.64","2054.79","139200","100","20230404","1709","20230818","1370"
"1377","サカタのタネ","東証PR","水産・農林","193199","47410750","1.35","55","22.59","1.24","180.39","3273.56","407500","100","20230926","4495","20230411","3765"
"1379","ホクト","東証PR","水産・農林","59679","33359040","-","-","80.95","1.14","22.1","1575.92","178900","100","20230131","1902","20231018","1769"
"1380","秋川牧園","東証ST","水産・農林","4338","4179000","0.96","10","43.27","2.01","23.99","516.23","103800","100","20230928","1094","20230619","1034"
"1381","アクシーズ","東証ST","水産・農林","16431","5617500","3.25","95","16.43","0.83","178.07","3516.95","292500","100","20230627","3270","20230217","2828"
"1382","ホーブ","東証ST","水産・農林","1391","762000","2.74","50","11.69","1.77","156.23","1034.18","182600","100","20230912","4635","20230111","1664"
"1383","ベルグアース","東証ST","水産・農林","5113","1610500","0.31","10","80.06","2.65","39.66","1198.88","317500","100","20230403","3475","20230104","2886"
"1384","ホクリヨウ","東証ST","水産・農林","8755","8459000","1.93","20","7.92","0.78","130.75","1325.23","103500","100","20230925","1205","20230104","702"
"1400","ルーデン・ホールディングス","東証GR","建設","1561","13008600","0","0","12.49","0.63","9.61","191.18","12000","100","20230221","187","20230206","98"
"1401","エムビーエス","東証GR","建設","4036","7732000","1.53","8","10.48","1.2","49.79","435.87","52200","100","20230721","574","20230113","466"
"1407","ウエストホールディングス","東証ST","建設","148899","46027488","1.7","55","17.68","4.19","182.93","771.95","323500","100","20230113","4730","20230818","2324"
"1414","ショーボンドホールディングス","東証PR","建設","318681","56745180","2.28","128","22.22","3.02","252.71","1862.41","561600","100","20230814","6050","20230217","5170"
"1417","ミライト・ワン","東証PR","建設","201071","103325329","3.34","65","10.31","0.76","188.81","2557.02","194600","100","20230919","2058","20230213","1468"
"1418","インターライフホールディングス","東証ST","建設","4162","20010529","2.4","5","16.12","0.96","12.9","215.67","20800","100","20230417","318","20230316","159"
"1419","タマホーム","東証PR","建設","97057","29455800","5.61","185","10.38","3.13","317.37","1053.29","329500","100","20230529","4125","20230110","2422"
"1420","サンヨーホームズ","東証ST","建設","9049","12620000","3.49","25","11.37","0.58","63.08","1231.47","71700","100","20230127","790","20230412","701"
"1429","日本アクア","東証PR","建設","32466","34760000","3.21","30","16.04","3.56","58.24","262.61","93400","100","20230914","1125","20230117","774"
"1430","ファーストコーポレーション","東証ST","建設","9929","13363540","4.17","31","7.2","1.16","103.21","640.32","74300","100","20230509","963","20230718","690"
"1431","Lib_Work","東証GR","建設","18401","23292040","0.81","6.4","47.19","5.27","16.74","149.99","79000","100","20230417","839","20230106","748"
"1433","ベステラ","東証PR","建設","8828","8990200","2.04","20","44.62","2.24","22.01","438.09","98200","100","20230613","1341","20230314","851"
"1434","JESCOホールディングス","東証ST","建設","5392","6868600","3.82","30","4.48","0.96","175.3","819.24","78500","100","20230828","800","20230104","439"
"1435","Robot_Home","東証ST","不動産","16767","91127000","1.09","2","20.67","1.97","8.9","93.59","18400","100","20230414","258","20230106","158"
"1436","フィット","東証GR","建設","3389","4284200","1.52","12","8.96","0.68","88.33","1160.25","79100","100","20230411","1286","20230104","656"
"1438","岐阜造園","東証ST","建設","5108","3204600","1.57","25","17.79","1.48","89.58","1074.2","159400","100","20230921","1870","20230112","994"
"1439","安江工務店","東証ST","建設","1834","1350760","2.21","30","13.17","1.14","103.11","1195","135800","100","20230203","1796","20230314","942"
"1443","技研ホールディングス","東証ST","建設","3410","16237977","0.48","1","10.65","0.35","19.71","607.32","21000","100","20230130","313","20230105","203"
"1444","ニッソウ","東証GR","建設","2465","1088700","0","0","16.76","1.67","135.11","1359.41","226400","100","20230712","2780","20230130","1954"
"1446","キャンディル","東証ST","建設","5904","10734200","1.09","6","24.04","1.89","22.88","291.38","55000","100","20230904","649","20230130","492"
"1447","ITbookホールディングス","東証GR","建設","7415","24152701","0","0","14.82","2.87","20.72","106.99","30700","100","20230221","436","20231024","295"
"1450","田中建設工業","東証ST","建設","9474","4349800","3.35","73","10.02","1.56","217.27","1397.65","217800","100","20230329","2780","20231017","2146"
"1451","KHC","東証ST","建設","2788","4005350","5.03","35","9.01","0.45","77.24","1548.75","69600","100","20230926","769","20230106","603"
"1491","中外鉱業","東証ST","非鉄金属","8692","289747982","-","-","18.4","1.2","1.63","25.02","3000","100","20230512","36","20230104","28"
"1514","住石ホールディングス","東証ST","鉱業","29270","58892853","1.51","7.5","4.61","1.32","107.81","376.64","49700","100","20230929","616","20230403","303"
"1515","日鉄鉱業","東証PR","鉱業","76340","16704638","2.89","132","13.82","0.57","330.6","7991.9","457000","100","20230919","5600","20230105","3130"
"1518","三井松島ホールディングス","東証PR","鉱業","34425","13064400","3.04","80","3.1","0.59","850.25","4433.08","263500","100","20230221","4105","20230619","2475"
"1605","INPEX","東証PR","鉱業","3009068","1386667167","3.41","74","8.86","0.66","245.02","3269.65","217000","100","20230928","2368","20230105","1301"
"1662","石油資源開発","東証PR","鉱業","279102","54300076","3.89","200","8.2","0.64","627","8014.07","514000","100","20230928","6000","20230105","3590"
"1663","K＆Oエナジーグループ","東証PR","鉱業","68120","28336061","1.41","34","11.23","0.73","214.15","3276.04","240400","100","20230929","2737","20230106","1887"
"1711","SDSホールディングス","東証ST","建設","1947","8732773","0","0","-","4.39","-13.74","50.84","22300","100","20230125","376","20231016","215"
"1712","ダイセキ環境ソリューション","東証ST","建設","15969","16827120","1.05","10","10.49","1.01","90.5","940.48","94900","100","20230714","1445","20230407","793"
"1716","第一カッター興業","東証ST","建設","14316","12000000","2.93","35","7.71","0.81","154.65","1468.67","119300","100","20230725","1458","20230116","1000"
"1717","明豊ファシリティワークス","東証ST","サービス","9876","12775900","4.4","34","12.47","2.07","62.01","373.66","77300","100","20230308","830","20230116","690"
"1718","美樹工業","東証ST","建設","5178","1153263","3.56","160","8.18","0.33","548.86","13732.79","449000","100","20230731","4795","20230117","3800"
"1719","安藤・間","東証PR","建設","207269","181021197","5.24","60","13.17","1.27","86.92","901.12","114500","100","20230920","1279","20230106","819"
"1720","東急建設","東証PR","建設","77829","106761205","4.94","36","19.16","0.81","38.04","900.1","72900","100","20230920","850","20230105","624"
"1721","コムシスホールディングス","東証PR","建設","405517","133000000","3.44","105","16","1.08","190.59","2814.68","304900","100","20230915","3294","20230104","2277"
"1723","日本電技","東証ST","建設","34061","8197500","3.85","160","10.4","1.09","399.48","3812.44","415500","100","20230727","4845","20230104","3090"
