"SC","名称","決算期","決算発表日（本決算）","売上高（百万円）","営業利益（百万円）","経常利益（百万円）","当期利益（百万円）","総資産（百万円）","自己資本（百万円）","資本金（百万円）","有利子負債（百万円）","自己資本比率","ROE","ROA","発行済株式数"
"1301","極洋","202203","20220513","253575","6392","6904","4634","130460","42704","5664","57735","32.7","11.15","3.76","10928283"
"1332","ニッスイ","202203","20220512","693682","27076","32372","17275","505731","189799","30685","178136","37.5","9.61","3.52","312430277"
"1333","マルハニチロ","202203","20220509","866702","23819","27596","16898","548603","160174","20000","250603","29.2","11.15","3.13","50578837"
"1375","雪国まいたけ","202203","20220512","47081","4975","4564","2989","36096","10471","100","18635","29","30.34","8.33","39910700"
"1376","カネコ種苗","202205","20220712","60691","1835","1909","1302","48932","22645","1491","-","46.3","5.87","2.7","11772626"
"1377","サカタのタネ","202205","20220713","73049","11181","12114","12256","147423","125130","13500","1490","84.9","10.35","8.74","47410750"
"1379","ホクト","202203","20220513","70932","2014","3658","2530","104933","54509","5500","36913","51.9","4.66","2.47","33359040"
"1380","秋川牧園","202203","20220513","6638","115","237","159","5593","2033","714","2248","36.3","8.05","2.9","4179000"
"1381","アクシーズ","202206","20220812","21725","2453","2669","1943","21408","18772","452","35","87.7","10.76","9.34","5617500"
"1382","ホーブ","202206","20220805","2604","148","149","142","1081","719","421","15","66.5","21.91","13.82","762000"
"1383","ベルグアース","202210","20221214","6393","-58","-44","202","6074","1623","552","2569","26.7","15.31","3.62","1560500"
"1384","ホクリヨウ","202203","20220513","15359","878","942","1191","15549","10154","1055","2128","65.3","12.38","8.74","8459000"
"1400","ルーデン・ホールディングス","202212","20230214","2269","-11","18","-14","2959","2252","2262","80","76.1","-0.63","-0.47","13008600"
"1401","エムビーエス","202205","20220713","4030","440","475","325","3841","2983","391","-","77.7","11.36","8.57","7732000"
"1407","ウエストホールディングス","202208","20221014","67169","7770","7293","4257","101418","27537","2020","59065","27.2","16.11","4.28","46027488"
"1414","ショーボンドホールディングス","202206","20220810","81193","17267","17669","12366","117423","94154","5000","-","80.2","13.37","10.88","56745180"
"1417","ミライト・ワン","202203","20220513","470385","32804","34152","25163","432683","242121","7000","50107","56","10.74","6.36","103325329"
"1418","インターライフホールディングス","202202","20220413","11794","45","48","71","7564","3917","2979","1252","51.8","1.83","0.89","20010529"
"1419","タマホーム","202205","20220711","240760","11893","12346","8283","105077","30873","4310","16734","29.4","29.06","8.07","29455800"
"1420","サンヨーホームズ","202203","20220513","51123","548","545","326","46886","15048","5945","19674","32.1","2.04","0.66","12620000"
"1429","日本アクア","202212","20230210","25670","2329","2359","1549","21969","7966","1903","6033","36.3","19.46","7.7","34760000"
"1430","ファーストコーポレーション","202205","20220708","30178","1919","1891","1269","17811","6926","730","2955","38.9","19.22","7.2","13363540"
"1431","Lib_Work","202206","20220809","13761","666","706","444","7620","3400","1014","1800","44.6","13.11","5.83","23292040"
"1433","ベステラ","202301","20230310","5458","-215","-94","-64","8427","4370","843","2426","51.9","-1.47","-0.73","8990200"
"1434","JESCOホールディングス","202208","20221014","10381","775","726","512","13466","4418","1006","4613","32.8","12.48","4.05","6827500"
"1435","Robot_Home","202212","20230214","5421","645","664","719","10753","7879","10","570","73.3","9.35","6.96","91127000"
"1436","フィット","202204","20220613","7186","478","486","282","10715","4468","979","4059","41.7","6.39","2.98","4284200"
"1438","岐阜造園","202209","20221111","4851","383","369","247","4477","3267","396","241","73","7.81","5.65","3204600"
"1439","安江工務店","202212","20230210","7046","226","232","135","4243","1570","256","1341","37","8.92","3.21","1347880"
"1443","技研ホールディングス","202203","20220527","8179","982","1033","466","15975","9884","1120","2913","61.9","4.84","2.89","16237977"
"1444","ニッソウ","202207","20220913","3504","220","207","136","1690","1346","316","-","79.6","11.55","9.24","1088700"
"1446","キャンディル","202209","20221111","11268","337","303","105","6480","2516","561","2516","38.8","3.64","1.52","10734200"
"1447","ITbookホールディングス","202203","20220516","26286","97","15","-935","18228","2057","1489","10818","11.3","-38.4","-5.58","24152701"
"1450","田中建設工業","202203","20220513","9824","1418","1434","967","7050","5439","297","-","77.1","18.92","13.76","4349800"
"1451","KHC","202203","20220506","11888","562","521","340","14898","5920","471","7488","39.7","5.85","2.29","3985350"
"1491","中外鉱業","202203","20220513","51590","586","509","546","9833","7067","6248","920","71.9","8.01","6.03","289747982"
"1514","住石ホールディングス","202203","20220516","12404","2343","2356","2267","21575","17353","2501","1700","80.4","13.97","11.74","58892853"
"1515","日鉄鉱業","202203","20220510","149082","15715","16605","9279","197732","120074","4176","20739","60.7","8.03","4.8","16704638"
