"SC","è„èÍîNåé"
"1301","194905"
"1332","194905"
"1333","201404"
"1375","202009"
"1376","198111"
"1377","198705"
"1379","199411"
"1380","199711"
"1381","200012"
"1382","200508"
"1383","201111"
"1384","201502"
"1401","200504"
"1407","200603"
"1414","200801"
"1417","201010"
"1418","201010"
"1419","201303"
"1420","201304"
"1429","201312"
"1430","201503"
"1431","201508"
"1433","201509"
"1434","201509"
"1435","201512"
"1436","201603"
"1438","201611"
"1439","201702"
"1443","201801"
"1444","202003"
"1446","201807"
"1447","201810"
"1450","201812"
"1451","201903"
"1491","194905"
"1514","200810"
"1515","195403"
"1518","196110"
"1605","200604"
"1662","200312"
"1663","201401"
"1711","200412"
"1712","200412"
"1716","200406"
"1717","200402"
"1718","200310"
"1719","200310"
"1720","200310"
"1721","200309"
"1723","200303"
"1724","200302"
"1726","200209"
"1730","200104"
"1736","200004"
"1739","199912"
"1743","199907"
"1757","199711"
"1758","199711"
"1762","199710"
"1764","199704"
"1766","199703"
"1768","199611"
"1770","199608"
"1773","199602"
"1775","199602"
"1776","199602"
"1780","199509"
"1783","199506"
"1786","202104"
"1787","199504"
"1788","199503"
"1789","199502"
"1793","199412"
"1795","199411"
"1798","199410"
"1799","199408"
"1801","195709"
"1802","195812"
"1803","196110"
"1805","196109"
"1807","199309"
"1808","196110"
"1810","196110"
"1811","196110"
"1812","196110"
"1813","196110"
"1814","196110"
"1815","196110"
"1820","196111"
"1821","196202"
"1822","196202"
"1826","196208"
"1827","196209"
"1828","199309"
"1833","196209"
"1835","196211"
"1840","199305"
"1841","196306"
"1844","199304"
"1847","196306"
"1848","199304"
"1850","196305"
"1852","196307"
"1853","196307"
"1860","196904"
"1861","197004"
"1866","197309"
"1867","197309"
"1870","198205"
"1871","196206"
"1873","198808"
"1878","198903"
"1879","198912"
"1882","196110"
"1884","196110"
"1885","196109"
"1887","201903"
"1888","196110"
"1890","196110"
"1893","196208"
"1897","197207"
"1898","197309"
"1899","197512"
"1904","199112"
"1905","199111"
"1909","201106"
"1911","197005"
"1914","198811"
"1921","196310"
"1925","196109"
"1926","196110"
"1928","197008"
"1929","198312"
"1930","198611"
"1934","197712"
"1938","197401"
"1939","197311"
"1941","194906"
"1942","196110"
"1944","196110"
"1945","196111"
"1946","196204"
"1948","196207"
"1949","196211"
"1950","196212"
"1951","196302"
"1952","199011"
"1959","196811"
"1960","197305"
"1961","195009"
"1963","196205"
"1964","196210"
"1965","199010"
"1966","198311"
"1967","196310"
"1968","196812"
"1969","196911"
"1971","196110"
"1972","196209"
"1973","198312"
"1975","197104"
"1976","197110"
"1979","197410"
"1980","197510"
"1981","197509"
"1982","197711"
"1992","198905"
"1994","199007"
"1997","199404"
"2001","194905"
"2002","194905"
"2003","194905"
"2004","194905"
"2009","196209"
"2053","196110"
"2055","196110"
"2060","201410"
"2107","195303"
"2108","194905"
"2109","195312"
"2112","196110"
"2114","196110"
"2117","201110"
"2120","200610"
"2121","200609"
"2122","200609"
"2124","200609"
"2127","200610"
"2130","200611"
"2134","200612"
"2136","200612"
"2138","200702"
"2139","200702"
"2146","200704"
"2148","200704"
"2150","200704"
"2152","200705"
"2153","200706"
"2154","200706"
"2156","200706"
"2157","200706"
"2158","200706"
"2160","200708"
"2162","200710"
"2163","200710"
"2164","200710"
"2168","200712"
"2169","200712"
"2170","200712"
"2173","200802"
"2175","200803"
"2179","200808"
"2180","200809"
"2181","200810"
"2183","200810"
"2185","200812"
"2186","200812"
"2193","200907"
"2195","201001"
"2196","201003"
"2198","201007"
"2201","194905"
"2204","195703"
"2206","195403"
"2207","195902"
"2208","195404"
"2209","196110"
"2211","196206"
"2212","196207"
"2215","196209"
"2216","196209"
"2217","197409"
"2220","198410"
"2221","198910"
"2222","199411"
"2224","199712"
"2226","200406"
"2229","201103"
"2264","195409"
"2266","196305"
"2267","198001"
"2268","198712"
"2269","200904"
"2270","200910"
"2281","196110"
"2282","196110"
"2286","196205"
"2288","196306"
"2291","198709"
"2292","198908"
"2293","199011"
"2294","199706"
"2296","201604"
"2300","200204"
"2301","200205"
"2303","200206"
"2304","200206"
"2305","200206"
"2307","200206"
"2309","200206"
"2311","200207"
"2315","200303"
"2317","200208"
"2321","200209"
"2323","200209"
"2325","200209"
"2326","200209"
"2327","200210"
"2329","200210"
"2330","200210"
"2331","200210"
"2332","200210"
"2334","201712"
"2335","200210"
"2337","200211"
"2338","200211"
"2340","200211"
"2341","200212"
"2342","200212"
"2344","200212"
"2345","200212"
"2349","200301"
"2351","200301"
"2353","200302"
"2354","200302"
"2359","200303"
"2370","200310"
"2371","200310"
"2372","200310"
"2373","200310"
"2374","200310"
"2375","200311"
"2376","200311"
"2378","200312"
"2379","200405"
"2384","200312"
"2385","200312"
"2388","200401"
"2389","200402"
"2391","200402"
"2393","200402"
"2395","200403"
"2397","200403"
"2402","200407"
"2404","200407"
"2408","200408"
"2410","200410"
"2411","200409"
"2412","200409"
"2413","200409"
"2415","200410"
"2418","200410"
"2424","201603"
"2425","200411"
"2427","200412"
"2428","200412"
"2429","200502"
"2432","200502"
"2433","200502"
"2435","200503"
"2436","200503"
"2437","200504"
"2438","200504"
"2440","200504"
"2445","200506"
"2449","200507"
"2453","200508"
"2454","200509"
"2459","200511"
"2461","200511"
"2462","200512"
"2464","200512"
"2468","200512"
"2469","200602"
"2471","200602"
"2475","200603"
"2477","200603"
"2479","200604"
"2480","200604"
"2481","200604"
"2483","200604"
"2484","200606"
"2485","200606"
"2487","200606"
"2488","200606"
"2489","200606"
"2491","200607"
"2492","200608"
"2493","200608"
"2497","200608"
"2498","200608"
"2499","200609"
"2501","194910"
"2502","194910"
"2503","194905"
"2531","194905"
"2533","194905"
"2540","195510"
"2573","197308"
"2579","199406"
"2585","202112"
"2586","201412"
"2587","201307"
"2588","201303"
"2590","200108"
"2593","199205"
"2594","199401"
"2597","199906"
"2599","200008"
"2602","194906"
"2607","196110"
"2612","199311"
"2613","200203"
"2651","200007"
"2652","200007"
"2653","200008"
"2654","200008"
"2656","200008"
"2659","200009"
"2664","200009"
"2666","200009"
"2667","200009"
"2668","200010"
"2669","200010"
"2670","200010"
"2673","200010"
"2674","200011"
"2676","200011"
"2678","200011"
"2681","200011"
"2683","200012"
"2685","200012"
"2686","200012"
"2687","200012"
"2689","200012"
"2692","200103"
"2693","200103"
"2694","200104"
"2695","200105"
"2698","200106"
"2700","200107"
"2702","200107"
"2705","200108"
"2708","200109"
"2715","200206"
"2721","200111"
"2722","200112"
"2726","200112"
"2730","200203"
"2733","200204"
"2734","200204"
"2735","200205"
"2736","200206"
"2737","200206"
"2742","200209"
"2743","200209"
"2747","200210"
"2749","200210"
"2750","200211"
"2751","200212"
"2752","200212"
"2753","200212"
"2754","200212"
"2760","200303"
"2762","200303"
"2763","200303"
"2764","200303"
"2767","200303"
"2768","200304"
"2769","200304"
"2776","200307"
"2778","200308"
"2780","200309"
"2782","200309"
"2784","200309"
"2788","200312"
"2789","200312"
"2790","200312"
"2791","200312"
"2792","200312"
"2795","200402"
"2796","200702"
"2798","200403"
"2801","194905"
"2802","194905"
"2804","196305"
"2805","196110"
"2806","196110"
"2809","197007"
"2810","197107"
"2811","197611"
"2812","198811"
"2813","198911"
"2814","199104"
"2815","199110"
"2816","199704"
"2818","200204"
"2819","200311"
"2820","201606"
"2830","199807"
"2831","200002"
"2871","194905"
"2872","194907"
"2874","196212"
"2875","197009"
"2876","199302"
"2877","199602"
"2882","201106"
"2883","201412"
"2884","201603"
"2892","196110"
"2894","196212"
"2897","196310"
"2899","197612"
"2901","198511"
"2903","198704"
"2904","198902"
"2907","199012"
"2908","199012"
"2910","199103"
"2911","199209"
"2914","199410"
"2915","199411"
"2916","199411"
"2917","199506"
"2918","199507"
"2922","199911"
"2923","200104"
"2924","200108"
"2926","200311"
"2927","200503"
"2929","200606"
"2930","201205"
"2931","201212"
"2932","202009"
"2933","202104"
"2934","202108"
"2935","202209"
"2936","202211"
"2937","202212"
"2938","202309"
"2961","202111"
"2962","202307"
"2970","201812"
"2975","201906"
"2978","201907"
"2980","201912"
"2981","201912"
"2982","202004"
"2983","202102"
"2984","202206"
"2986","202007"
"2987","202010"
"2991","202107"
"2993","202112"
"2997","202204"
"2998","202204"
"2999","202206"
"3001","194905"
"3002","194905"
"3003","194905"
"3004","194905"
"3010","196110"
"3011","196305"
"3020","200602"
"3021","200602"
"3023","200602"
"3024","200603"
"3028","200603"
"3030","200604"
"3031","200604"
"3034","200604"
"3035","200604"
"3036","200604"
"3038","200606"
"3040","200703"
"3041","200606"
"3042","200606"
"3045","200607"
"3046","200608"
"3048","200608"
"3050","200609"
"3053","200609"
"3054","200609"
"3058","200611"
"3059","200611"
"3063","200611"
"3064","200612"
"3065","200612"
"3067","200612"
"3068","200612"
"3069","200701"
"3070","200702"
"3071","200702"
"3073","200703"
"3075","200703"
"3076","200704"
"3077","200704"
"3079","200704"
"3080","200704"
"3082","200707"
"3083","200708"
"3086","200709"
"3087","200710"
"3088","200710"
"3089","200710"
"3091","200711"
"3092","200712"
"3093","200712"
"3094","200802"
"3096","200803"
"3097","200803"
"3099","200804"
"3101","194905"
"3103","194905"
"3104","194905"
"3105","194905"
"3106","194905"
"3107","194905"
"3109","194905"
"3110","194905"
"3111","194905"
"3113","194905"
"3116","195008"
"3121","194906"
"3123","196110"
"3131","201503"
"3132","201504"
"3133","201504"
"3134","201504"
"3135","201506"
"3137","201506"
"3138","201507"
"3139","201508"
"3140","200807"
"3141","200809"
"3143","200811"
"3148","200903"
"3150","200903"
"3151","200904"
"3153","200906"
"3154","200907"
"3156","200910"
"3157","200910"
"3159","201002"
"3160","201003"
"3161","201004"
"3166","201010"
"3167","201104"
"3168","201106"
"3169","201112"
"3172","201203"
"3173","201203"
"3174","201206"
"3175","201209"
"3176","201210"
"3177","201211"
"3178","201212"
"3179","201212"
"3180","201302"
"3181","201302"
"3182","201303"
"3183","201304"
"3184","201306"
"3185","201307"
"3186","201307"
"3187","201309"
"3189","201311"
"3190","201403"
"3191","201404"
"3192","201404"
"3193","201407"
"3195","201409"
"3196","201409"
"3197","201410"
"3198","201412"
"3199","201412"
"3201","194905"
"3202","194905"
"3204","200306"
"3205","195005"
"3221","201412"
"3222","201503"
"3223","201503"
"3224","201503"
"3231","200610"
"3232","200610"
"3236","200612"
"3237","200612"
"3238","200612"
"3241","200702"
"3242","200703"
"3244","200707"
"3245","200708"
"3246","200708"
"3248","200710"
"3252","200711"
"3254","200712"
"3261","201212"
"3264","200808"
"3266","200905"
"3267","201611"
"3271","201007"
"3275","201106"
"3276","201110"
"3277","201112"
"3280","201211"
"3284","201304"
"3286","201307"
"3288","201309"
"3289","201310"
"3291","201311"
"3293","201312"
"3294","201312"
"3297","201405"
"3299","201406"
"3300","201409"
"3302","195009"
"3306","194905"
"3315","200403"
"3317","200403"
"3319","200404"
"3320","200404"
"3321","200404"
"3322","200404"
"3323","200405"
"3326","200406"
"3328","200407"
"3329","200407"
"3333","200408"
"3341","200409"
"3347","200411"
"3349","200411"
"3350","200411"
"3352","200411"
"3353","200411"
"3355","200412"
"3358","200502"
"3359","200502"
"3360","200502"
"3361","200502"
"3370","200504"
"3371","200504"
"3372","200506"
"3374","200506"
"3375","200506"
"3377","200506"
"3382","200509"
"3386","200509"
"3387","200509"
"3388","200510"
"3391","200511"
"3392","200512"
"3393","200512"
"3395","200601"
"3396","200602"
"3397","200602"
"3399","200602"
"3401","194905"
"3402","194905"
"3405","194905"
"3407","194905"
"3409","195403"
"3415","201509"
"3416","201509"
"3417","201510"
"3418","201510"
"3420","199712"
"3421","199806"
"3422","199902"
"3423","199906"
"3426","200009"
"3431","200309"
"3433","200312"
"3434","200404"
"3435","200506"
"3436","200511"
"3437","200606"
"3439","200707"
"3440","200708"
"3441","200710"
"3443","200902"
"3444","201110"
"3445","201503"
"3446","201802"
"3447","201803"
"3449","201912"
"3452","201412"
"3454","201502"
"3457","201503"
"3458","201504"
"3461","201508"
"3465","201512"
"3467","201603"
"3469","201607"
"3474","201609"
"3475","201612"
"3477","201612"
"3479","201703"
"3480","201707"
"3482","201709"
"3484","201710"
"3486","201712"
"3489","201803"
"3490","201803"
"3491","201807"
"3494","201809"
"3495","201809"
"3496","201809"
"3497","201810"
"3498","201811"
"3501","194905"
"3512","195102"
"3513","195105"
"3521","194906"
"3524","194905"
"3526","195001"
"3529","196110"
"3536","201603"
"3537","201603"
"3538","201603"
"3539","201604"
"3540","201712"
"3541","201606"
"3542","201606"
