"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","838100","-29400","1262800","122800","0.66"
"130A","416800","82600","1000","100","416.8"
"1332","853400","-65500","404700","8700","2.11"
"1333","497200","5300","64200","100","7.74"
"135A","555500","555500","-","-","-"
"1375","142300","-5700","3700","700","38.46"
"1376","38400","-3700","-","-","-"
"1377","193000","-37000","21800","900","8.85"
"1379","38200","-6600","6000","-400","6.37"
"1380","4700","-400","-","-","-"
"1381","21500","-2700","100","-","215"
"1382","71700","-1000","-","-","-"
"1383","26400","1800","-","-","-"
"1384","200500","-6600","-","-","-"
"1401","81100","1500","-","-","-"
"1407","287700","42200","40300","-20100","7.14"
"1414","79400","7800","35900","-600","2.21"
"1417","170600","13000","17900","-600","9.53"
"1418","620000","-4700","19500","2100","31.79"
"1419","250500","-31800","443900","-5900","0.56"
"1420","41600","-3600","1600","300","26"
"1429","726400","-173100","15000","-3200","48.43"
"1430","79700","-300","3300","700","24.15"
"1431","113200","27300","3500","-","32.34"
"1433","269000","-11800","110800","-4800","2.43"
"1434","182200","2300","36700","-900","4.96"
"1435","2452600","36500","1000","-","2452.6"
"1436","93500","3500","-","-","-"
"1438","42900","-1500","-","-","-"
"1439","34700","-700","-","-","-"
"1443","837100","9200","-","-","-"
"1444","24200","1100","-","-","-"
"1446","63000","1100","37700","400","1.67"
"1447","3338700","-14500","-","-","-"
"1450","23000","600","-","-","-"
"1451","69800","1600","-","-","-"
"1491","1285400","-9200","-","-","-"
"1514","2325300","-41600","3000","-1000","775.1"
"1515","43300","1500","4900","-2000","8.84"
"1518","756300","23000","267500","-300200","2.83"
"1605","6792300","-369400","440100","-24100","15.43"
"1662","380500","-30500","53500","1300","7.11"
"1663","397700","10600","11400","-9200","34.89"
"1711","1892000","-54000","-","-","-"
"1712","643200","-13500","9200","2400","69.91"
"1716","184500","-500","2400","200","76.88"
"1717","200500","-20400","100","100","2005"
"1718","77800","2700","-","-","-"
"1719","548100","-14500","173900","-14000","3.15"
"1720","454600","-10300","10600","-900","42.89"
"1721","22900","-2800","100800","12500","0.23"
"1723","24100","2500","-","-","-"
"1724","260000","-9600","-","-","-"
"1726","367100","-1100","100","-","3671"
"1730","214300","6100","-","-","-"
"1736","5300","-500","-","-","-"
"1739","400","-100","-","-","-"
"1743","49900","300","-","-","-"
"1757","4891400","-170400","-","-","-"
"1758","84600","-100","-","-","-"
"1762","22300","500","29100","10500","0.77"
"1764","5400","200","-","-","-"
"1766","12200","100","10200","800","1.2"
"1768","16000","1700","2000","100","8"
"1770","71800","-1000","-","-","-"
"1773","60000","4000","-","-","-"
"1775","24400","-4500","-","-","-"
"1776","64100","-12100","-","-","-"
"1780","97500","22600","358100","41700","0.27"
"1783","3251300","-77800","-","-","-"
"1786","688700","-62100","21000","2400","32.8"
"1787","1900","-100","-","-","-"
"1788","3900","-500","-","-","-"
"1789","166900","25400","30900","26200","5.4"
"1793","4200","-800","-","-","-"
"1795","1800","100","-","-","-"
"1798","97300","1500","-","-","-"
"1799","93300","-700","2300","100","40.57"
"1801","292800","-16600","137100","-4900","2.14"
"1802","217100","-83500","253200","-10200","0.86"
"1803","1673600","-419400","357000","2000","4.69"
"1805","686900","5400","11900","-","57.72"
"1807","112500","-800","-","-","-"
"1808","370500","3800","201800","-1700","1.84"
"1810","57400","4300","6100","-1100","9.41"
"1811","115700","-1000","1500","100","77.13"
"1812","446100","40900","144900","-3200","3.08"
"1813","289400","4600","9100","-1500","31.8"
"1814","389200","30200","36700","-1400","10.6"
"1815","102600","-4400","11300","1500","9.08"
"1820","156100","26200","65000","-7000","2.4"
"1821","1714500","51500","204100","8000","8.4"
"1822","45200","-8200","11300","1600","4"
"1826","1051100","-7000","36600","-400","28.72"
"1827","762700","-194600","32800","10400","23.25"
"1828","100500","-5100","-","-","-"
"1833","163400","-300","20700","-500","7.89"
"1835","18400","3000","41600","-300","0.44"
"1840","619500","24900","-","-","-"
"1841","17800","-1100","-","-","-"
"1844","353800","-400","-","-","-"
"1847","155600","1100","400","-","389"
"1848","61000","2500","1500","-600","40.67"
"1850","722700","-3200","-","-","-"
"1852","171500","8600","47700","-1600","3.6"
"1853","570900","-39600","-","-","-"
"1860","49200","-5900","99000","4900","0.5"
"1861","53700","9400","7900","-500","6.8"
"1866","110700","400","800","600","138.38"
"1867","43500","1100","5200","500","8.37"
"1870","48600","5000","8000","-4400","6.08"
"1871","149800","-13100","13300","-1400","11.26"
"1873","521400","8700","255300","1200","2.04"
"1878","8400","-3400","30700","1600","0.27"
"1879","714100","-10800","14300","200","49.94"
"1882","374000","4400","10500","-1600","35.62"
"1884","85700","-4300","3300","700","25.97"
"1885","389000","-152800","18700","1300","20.8"
"1887","595800","-68500","42700","-3100","13.95"
"1888","25700","-3700","1000","800","25.7"
"1890","685300","-69900","6900","400","99.32"
"1893","1500400","-4300","40800","-4400","36.77"
"1897","5900","100","-","-","-"
"1898","561200","9900","51100","-7700","10.98"
"1899","45500","-2500","14100","-800","3.23"
"1904","42300","6500","40100","-100","1.05"
"1905","147200","-500","-","-","-"
"1909","266500","-3900","-","-","-"
"1911","707200","5100","118800","5800","5.95"
"1914","175300","-4100","3600","100","48.69"
"1921","148400","-53600","10500","-3600","14.13"
"1925","394100","-7900","57400","-","6.87"
"1926","199100","33700","23800","1200","8.37"
"1928","805200","-62800","135100","16700","5.96"
"1929","99600","-1300","26100","-400","3.82"
"1930","159900","-4100","106800","-7500","1.5"
"1934","200600","67500","11900","3000","16.86"
"1938","201100","-2000","300","-","670.33"
"1939","45800","-2100","22700","1500","2.02"
"1941","29100","-7500","16800","800","1.73"
"1942","51800","-7000","55900","-10900","0.93"
"1944","71700","10800","95200","-1300","0.75"
"1945","204200","-24500","21100","200","9.68"
"1946","17300","-700","2400","100","7.21"
"1948","17000","-","-","-","-"
"1949","25000","2300","6900","300","3.62"
"1950","29200","-1500","9600","100","3.04"
"1951","90400","-5400","28400","5700","3.18"
"1952","34300","-3200","30600","-100","1.12"
"1959","80400","3700","46600","-100","1.73"
"1960","229500","-400","-","-","-"
"1961","95700","-5500","9200","700","10.4"
"1963","2741400","555300","207700","-143700","13.2"
"1964","63100","5100","9900","-2600","6.37"
"1965","103600","5000","3700","-800","28"
"1966","358400","-37500","19200","400","18.67"
"1967","645400","3700","4800","-100","134.46"
"1968","7100","2700","1300","-3000","5.46"
"1969","102600","15500","66900","2600","1.53"
"1971","13700","-200","-","-","-"
"1972","120600","-5100","9500","-300","12.69"
"1973","25800","-5100","27500","-","0.94"
"1975","67900","-800","2900","-200","23.41"
"1976","59500","12000","28200","8400","2.11"
"1979","73500","2600","9400","1700","7.82"
"1980","129900","5500","32700","-17600","3.97"
"1981","1900","-","-","-","-"
"1982","37800","300","1900","-600","19.89"
