"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1301","37100","-3700","4300","-600","8.63"
"1332","1649500","248700","173300","38800","9.52"
"1333","554100","4300","44400","1700","12.48"
"1375","121600","-900","14200","-100","8.56"
"1376","8500","-400","-","-","-"
"1377","104800","1000","25300","6600","4.14"
"1379","59800","10700","45300","3100","1.32"
"1380","4400","100","-","-","-"
"1381","7600","700","-","-","-"
"1382","24700","-800","-","-","-"
"1383","11000","-3300","-","-","-"
"1384","199900","4200","-","-1000","-"
"1400","402500","34400","-","-","-"
"1401","41900","-1600","-","-","-"
"1407","529700","4400","179400","91800","2.95"
"1414","168300","300","19100","-100","8.81"
"1417","90700","-400","26000","-17700","3.49"
"1418","832600","652200","685800","683600","1.21"
"1419","357300","108900","952900","-20000","0.37"
"1420","39100","5100","7300","-14300","5.36"
"1429","313900","-10800","50900","2200","6.17"
"1430","130700","-72500","26000","3200","5.03"
"1431","55300","13300","177000","400","0.31"
"1433","164300","-5400","109700","600","1.5"
"1434","190000","-","11900","5700","15.97"
"1435","2451700","194800","19000","100","129.04"
"1436","125000","14600","-","-","-"
"1438","43200","-400","-","-","-"
"1439","68200","700","-","-","-"
"1443","853100","-42400","-","-","-"
"1444","37300","300","-","-","-"
"1446","66000","-3900","35400","-300","1.86"
"1447","2367900","-30200","-","-","-"
"1450","20200","200","-","-","-"
"1451","41900","400","-","-","-"
"1491","1594200","-315700","-","-","-"
"1514","12604300","-58500","9500","-200","1326.77"
"1515","84800","13700","18100","700","4.69"
"1518","1327700","66000","559100","14400","2.37"
"1605","6643800","-2010000","1375800","621400","4.83"
"1662","454400","38600","145800","-3000","3.12"
"1663","233400","-21200","17700","3500","13.19"
"1711","508600","2300","-","-","-"
"1712","230300","-68200","17000","-1400","13.55"
"1716","45700","-1200","300","-1500","152.33"
"1717","244300","-900","-","-","-"
"1718","68600","-100","-","-","-"
"1719","200400","3100","215200","5200","0.93"
"1720","644900","10100","52800","1700","12.21"
"1721","159600","1000","59600","-1400","2.68"
"1723","15100","-1200","-","-","-"
"1724","256000","-2600","-","-","-"
"1726","188400","-1900","300","-200","628"
"1730","60900","-1700","-","-","-"
"1736","9200","-400","-","-","-"
"1739","365900","6400","-","-","-"
"1743","55100","200","-","-","-"
"1757","25118300","8300","-","-","-"
