"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"0001","日経平均株価（日経225）","東証","株価指数","20230612","32434","168.83","0.52","32265.17","32412.12","32517.68","32280.54","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20230612","2238.77","14.45","0.65","2224.32","2233.92","2241.22","2228.25","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20230612","3665","15","0.41","3650","3660","3675","3655","3666.35","18500","0.17","67828","40052","2950","4350","20230203","3930","6.74","20230320","3370","8.75"
"1332","ニッスイ","東証PR","水産・農林","20230612","642.1","-3.5","-0.54","645.6","649.4","651.8","638.9","644.54","1507900","0.48","971904","200611","545.6","745.6","20230612","651.8","1.49","20230113","517","24.2"
"1333","マルハニチロ","東証PR","水産・農林","20230612","2476","0.5","0.02","2475.5","2478","2482","2467","2474.19","124100","0.25","307047","125233","1975.5","2975.5","20230516","2635","6.03","20230320","2333","6.13"
"1375","雪国まいたけ","東証PR","水産・農林","20230612","966","3","0.31","963","969","970","964","967.19","57100","0.14","55227","38554","813","1113","20230307","1057","8.61","20230531","950","1.68"
"1376","カネコ種苗","東証ST","水産・農林","20230612","1469","9","0.62","1460","1469","1471","1462","1468.16","12800","0.11","18793","17294","1160","1760","20230404","1709","14.04","20230105","1400","4.93"
"1377","サカタのタネ","東証PR","水産・農林","20230612","4050","40","1","4010","4040","4060","4030","4046.95","96900","0.2","392149","192014","3310","4710","20230104","4330","6.47","20230411","3765","7.57"
"1379","ホクト","東証PR","水産・農林","20230612","1876","-1","-0.05","1877","1880","1881","1872","1877.38","37400","0.11","70214","62582","1477","2277","20230131","1902","1.37","20230413","1805","3.93"
"1380","秋川牧園","東証ST","水産・農林","20230612","1040","0","0","1040","1040","1040","1039","1039.37","800","0.02","832","4346","740","1340","20230116","1071","2.89","20230607","1038","0.19"
"1381","アクシーズ","東証ST","水産・農林","20230612","3125","5","0.16","3120","3100","3125","3100","3106.17","3000","0.05","9319","17555","2420","3820","20230515","3160","1.11","20230217","2828","10.5"
"1382","ホーブ","東証ST","水産・農林","20230612","1792","3","0.17","1789","1807","1807","1792","1801.78","900","0.12","1622","1366","1389","2189","20230314","2095","14.46","20230111","1664","7.69"
"1383","ベルグアース","東証ST","水産・農林","20230612","3140","5","0.16","3135","3135","3145","3125","3136.43","1400","0.09","4391","4900","2435","3835","20230403","3475","9.64","20230104","2886","8.8"
"1384","ホクリヨウ","東証ST","水産・農林","20230612","915","1","0.11","914","912","919","905","912.65","26500","0.31","24185","7740","764","1064","20230213","972","5.86","20230104","702","30.34"
"1400","ルーデン・ホールディングス","東証GR","建設","20230612","126","2","1.61","124","124","126","122","124.44","17500","0.13","2178","1639","74","174","20230221","187","32.62","20230206","98","28.57"
"1401","エムビーエス","東証GR","建設","20230612","508","31","6.5","477","477","510","477","494.87","26200","0.34","12966","3928","397","557","20230612","510","0.39","20230113","466","9.01"
"1407","ウエストホールディングス","東証ST","建設","20230612","2635","82","3.21","2553","2582","2688","2574","2643.68","379100","0.82","1002219","121282","2053","3055","20230113","4730","44.29","20230608","2518","4.65"
"1414","ショーボンドホールディングス","東証PR","建設","20230612","5729","-30","-0.52","5759","5750","5791","5718","5740.56","230900","0.41","1325496","325093","4759","6759","20230510","5920","3.23","20230217","5170","10.81"
"1417","ミライト・ワン","東証PR","建設","20230612","1771","-7","-0.39","1778","1781","1787.5","1765","1772.85","397400","0.38","704530","182989","1378","2178","20230523","1825","2.96","20230213","1468","20.64"
"1418","インターライフホールディングス","東証ST","建設","20230612","209","0","0","209","208","210","208","209.04","16400","0.08","3428","4182","129","289","20230417","318","34.28","20230316","159","31.45"
"1419","タマホーム","東証PR","建設","20230612","3490","5","0.14","3485","3505","3520","3470","3496.41","330400","1.12","1155213","102801","2785","4185","20230529","4125","15.39","20230110","2422","44.1"
