"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"0001","日経平均株価（日経225）","東証","株価指数","20240301","39910.82","744.63","1.9","39166.19","39254.69","39990.23","39224.64","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20240301","2709.42","33.69","1.26","2675.73","2676.97","2712.29","2675.91","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20240301","3545","-20","-0.56","3565","3580","3600","3520","234600","833266","38741","2865","4265"
"130A","Veritas_In_Silico","東証GR","医薬品","20240301","2093","-161","-7.14","2254","2220","2260","2000","246300","520327","13189","1754","2754"
"1332","ニッスイ","東証PR","水産・農林","20240301","951.1","-1.5","-0.16","952.6","945","953.7","942.3","1382300","1311685","297152","802.6","1103"
"1333","マルハニチロ","東証PR","水産・農林","20240301","2930.5","-27","-0.91","2957.5","2967.5","2970.5","2925","207700","611373","148221","2457.5","3458"
"135A","VRAIN_Solution","東証GR","情報通信","20240301","5940","-100","-1.66","6040","6090","6230","5940","657200","3976928","60053","5040","7040"
"1375","雪国まいたけ","東証PR","水産・農林","20240301","1002","-11","-1.09","1013","1012","1017","998","88400","88892","39991","713","1313"
"1376","カネコ種苗","東証ST","水産・農林","20240301","1414","2","0.14","1412","1412","1421","1402","11300","15964","16646","1112","1712"
"1377","サカタのタネ","東証PR","水産・農林","20240301","3655","25","0.69","3630","3630","3665","3630","93300","340795","173286","2930","4330"
"1379","ホクト","東証PR","水産・農林","20240301","1804","3","0.17","1801","1808","1810","1798","52900","95451","60180","1401","2201"
"137A","Cocolive","東証GR","情報通信","20240301","2467","-268","-9.8","2735","2734","2930","2445","1928000","5246292","7200","2235","3235"
"1380","秋川牧園","東証ST","水産・農林","20240301","1052","1","0.1","1051","1053","1053","1052","600","632","4396","751","1351"
"1381","アクシーズ","東証ST","水産・農林","20240301","3005","-45","-1.48","3050","3040","3070","3005","4300","13063","16881","2350","3750"
"1382","ホーブ","東証ST","水産・農林","20240301","2230","-130","-5.51","2360","2360","2360","2230","16000","36306","1699","1860","2860"
"1383","ベルグアース","東証ST","水産・農林","20240301","3375","-5","-0.15","3380","3390","3395","3375","2100","7110","5435","2680","4080"
"1384","ホクリヨウ","東証ST","水産・農林","20240301","1045","-2","-0.19","1047","1041","1049","1041","15700","16396","8840","747","1347"
"138A","光フードサービス","東証GR","小売","20240301","5260","-1000","-15.97","6260","6360","6700","5260","686000","4052850","5218","5260","7260"
"1401","エムビーエス","東証GR","建設","20240301","740","-10","-1.33","750","765","765","740","10000","7504","5722","600","900"
"1407","ウエストホールディングス","東証ST","建設","20240301","2885","-73","-2.47","2958","2941","2947","2885","216300","628752","132789","2458","3460"
"1414","ショーボンドホールディングス","東証PR","建設","20240301","6350","-61","-0.95","6411","6388","6444","6336","113400","723258","360332","5411","7411"
"1417","ミライト・ワン","東証PR","建設","20240301","1871.5","5","0.27","1866.5","1850","1879.5","1845","273500","510626","176530","1466.5","2266.5"
"1418","インターライフホールディングス","東証ST","建設","20240301","214","-1","-0.47","215","215","215","211","36900","7859","4282","135","295"
"1419","タマホーム","東証PR","建設","20240301","4220","25","0.6","4195","4200","4275","4170","275000","1164199","124303","3495","4895"
"1420","サンヨーホームズ","東証ST","建設","20240301","770","-1","-0.13","771","770","773","768","16400","12635","9717","621","921"
"1429","日本アクア","東証PR","建設","20240301","1059","-5","-0.47","1064","1049","1070","1049","98900","104835","36811","764","1364"
"1430","ファーストコーポレーション","東証ST","建設","20240301","795","2","0.25","793","795","798","791","12300","9767","10624","643","943"
"1431","Lib_Work","東証GR","建設","20240301","773","-1","-0.13","774","773","778","770","155300","119888","18469","624","924"
"1433","ベステラ","東証PR","建設","20240301","1082","-11","-1.01","1093","1092","1097","1068","64100","69128","9727","793","1393"
"1434","JESCOホールディングス","東証ST","建設","20240301","907","-8","-0.87","915","919","920","893","36900","33396","6289","765","1065"
"1435","Robot_Home","東証ST","不動産","20240301","156","-2","-1.27","158","159","159","156","509400","80234","14216","108","208"
"1436","フィット","東証GR","建設","20240301","908","36","4.13","872","875","915","873","28900","25871","3890","722","1022"
"1438","岐阜造園","東証ST","建設","20240301","1720","-31","-1.77","1751","1720","1738","1720","1400","2413","5512","1351","2151"
"1439","安江工務店","東証ST","建設","20240301","1333","-2","-0.15","1335","1334","1359","1332","1100","1472","1802","1035","1635"
"1443","技研ホールディングス","東証ST","建設","20240301","224","4","1.82","220","220","225","220","186100","41560","3637","140","300"
"1444","ニッソウ","東証GR","建設","20240301","2511","-42","-1.65","2553","2580","2580","2511","3200","8103","2734","2053","3055"
"1446","キャンディル","東証ST","建設","20240301","577","0","0","577","576","577","574","7500","4317","6194","477","677"
"1447","ITbookホールディングス","東証GR","建設","20240301","289","-5","-1.7","294","293","294","288","215800","62833","6980","214","374"
"1450","田中建設工業","東証ST","建設","20240301","2244","29","1.31","2215","2176","2251","2171","5300","11771","9761","1715","2715"
"1451","KHC","東証ST","建設","20240301","746","-10","-1.32","756","760","761","745","11200","8472","2988","606","906"
"1491","中外鉱業","東証ST","非鉄金属","20240301","31","0","0","31","30","32","30","1295100","40224","8982","1","61"
"1514","住石ホールディングス","東証ST","鉱業","20240301","2962","179","6.43","2783","2701","3060","2701","4741100","13840570","174441","2283","3285"
"1515","日鉄鉱業","東証PR","鉱業","20240301","5040","40","0.8","5000","5020","5050","4985","44900","225189","84191","4000","6000"
"1518","三井松島ホールディングス","東証PR","鉱業","20240301","3170","25","0.79","3145","3135","3180","3125","184800","583380","41414","2445","3845"
"1605","INPEX","東証PR","鉱業","20240301","2068","57","2.83","2011","2013","2084.5","2013","10894100","22485322","2603893","1511","2511"
"1662","石油資源開発","東証PR","鉱業","20240301","6120","30","0.49","6090","6060","6180","6060","272600","1670366","332316","5090","7090"
"1663","K＆Oエナジーグループ","東証PR","鉱業","20240301","2373","-25","-1.04","2398","2375","2408","2365","92700","220771","67241","1898","2898"
"1711","SDSホールディングス","東証ST","建設","20240301","483","6","1.26","477","485","491","469","281300","135125","4566","397","557"
"1712","ダイセキ環境ソリューション","東証ST","建設","20240301","980","-27","-2.68","1007","1009","1009","976","289700","286116","16491","707","1307"
"1716","第一カッター興業","東証ST","建設","20240301","1407","5","0.36","1402","1402","1421","1386","52500","73822","16884","1102","1702"
"1717","明豊ファシリティワークス","東証ST","サービス","20240301","918","-11","-1.18","929","929","938","915","58100","53609","11728","779","1079"
"1718","美樹工業","東証ST","建設","20240301","4945","-5","-0.1","4950","5010","5010","4885","1700","8415","5703","4250","5650"
"1719","安藤・間","東証PR","建設","20240301","1239","4","0.32","1235","1234","1245","1231","791400","978854","224285","935","1535"
"1720","東急建設","東証PR","建設","20240301","827","-4","-0.48","831","826","830","821","389100","320860","88292","681","981"
"1721","コムシスホールディングス","東証PR","建設","20240301","3390","84","2.54","3306","3316","3410","3316","503900","1704579","450870","2606","4006"
"1723","日本電技","東証ST","建設","20240301","5950","370","6.63","5580","6380","6380","5920","63400","390667","48775","4580","6580"
"1724","シンクレイヤ","東証ST","建設","20240301","698","-4","-0.57","702","704","704","696","9100","6370","3451","552","852"
"1726","ビーアールホールディングス","東証PR","建設","20240301","377","-1","-0.26","378","379","379","376","79900","30158","17265","298","458"
"1730","麻生フオームクリート","東証ST","建設","20240301","598","-10","-1.64","608","618","637","595","41500","25253","2045","508","708"
"1736","オーテック","東証ST","建設","20240301","3630","25","0.69","3605","3650","3650","3630","1200","4377","20691","2905","4305"
"1739","メルディアDC","東証GR","建設","20240301","-","0","0","1092","-","-","-","-","-","7048","792","1392"
