"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"0001","日経平均株価（日経225）","東証","株価指数","20230804","32192.75","33.47","0.1","32159.28","32019.06","32294.7","31934.35","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20230804","2274.63","6.28","0.28","2268.35","2260.4","2278.53","2257.08","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20230804","3695","-5","-0.14","3700","3695","3750","3625","37400","138226","40380","3000","4400"
"1332","ニッスイ","東証PR","水産・農林","20230804","710.9","38","5.65","672.9","668.8","713.6","664.2","5205600","3633892","222107","572.9","772.9"
"1333","マルハニチロ","東証PR","水産・農林","20230804","2464.5","8","0.33","2456.5","2456.5","2477.5","2447","220100","542669","124652","1956.5","2956.5"
"1375","雪国まいたけ","東証PR","水産・農林","20230804","912","-6","-0.65","918","915","915","908","138100","125863","36399","768","1068"
"1376","カネコ種苗","東証ST","水産・農林","20230804","1408","-8","-0.56","1416","1415","1415","1402","20900","29459","16576","1116","1716"
"1377","サカタのタネ","東証PR","水産・農林","20230804","3955","5","0.13","3950","3950","3980","3930","75200","297600","187510","3250","4650"
"1379","ホクト","東証PR","水産・農林","20230804","1848","-1","-0.05","1849","1849","1850","1840","31700","58486","61648","1449","2249"
"1380","秋川牧園","東証ST","水産・農林","20230804","1048","-2","-0.19","1050","1055","1055","1048","700","736","4380","750","1350"
"1381","アクシーズ","東証ST","水産・農林","20230804","2980","-20","-0.67","3000","2980","2980","2980","500","1490","16740","2300","3700"
"1382","ホーブ","東証ST","水産・農林","20230804","1812","6","0.33","1806","1782","1812","1782","600","1079","1381","1406","2206"
"1383","ベルグアース","東証ST","水産・農林","20230804","3205","10","0.31","3195","3195","3205","3195","400","1280","5162","2495","3895"
"1384","ホクリヨウ","東証ST","水産・農林","20230804","883","14","1.61","869","874","883","872","13600","11938","7469","719","1019"
"1400","ルーデン・ホールディングス","東証GR","建設","20230804","119","-1","-0.83","120","118","120","115","24000","2811","1548","70","170"
"1401","エムビーエス","東証GR","建設","20230804","510","7","1.39","503","503","514","500","6800","3422","3943","403","603"
"1407","ウエストホールディングス","東証ST","建設","20230804","2497","-62","-2.42","2559","2514","2573","2491","284700","714816","114931","2059","3060"
"1414","ショーボンドホールディングス","東証PR","建設","20230804","5754","73","1.28","5681","5672","5760","5672","120700","691922","326512","4681","6681"
"1417","ミライト・ワン","東証PR","建設","20230804","1806.5","6","0.33","1800.5","1798","1810.5","1792","142700","257363","186657","1400.5","2200.5"
"1418","インターライフホールディングス","東証ST","建設","20230804","203","0","0","203","203","205","203","15400","3131","4062","123","283"
"1419","タマホーム","東証PR","建設","20230804","3525","25","0.71","3500","3500","3545","3490","148700","523724","103832","2800","4200"
"1420","サンヨーホームズ","東証ST","建設","20230804","721","4","0.56","717","717","721","715","13400","9643","9099","567","867"
"1429","日本アクア","東証PR","建設","20230804","871","15","1.75","856","857","873","855","70100","60772","30276","706","1006"
"1430","ファーストコーポレーション","東証PR","建設","20230804","730","-3","-0.41","733","733","738","730","21200","15531","9755","583","883"
"1431","Lib_Work","東証GR","建設","20230804","794","4","0.51","790","800","800","790","11500","9165","18494","640","940"
"1433","ベステラ","東証PR","建設","20230804","1075","-6","-0.56","1081","1090","1096","1070","34700","37571","9664","781","1381"
"1434","JESCOホールディングス","東証ST","建設","20230804","725","-8","-1.09","733","736","742","700","93300","67518","4961","583","883"
"1435","Robot_Home","東証PR","建設","20230804","196","0","0","196","195","197","194","96800","18959","17861","146","246"
"1436","フィット","東証GR","建設","20230804","890","0","0","890","890","890","890","100","89","3813","740","1040"
"1438","岐阜造園","東証ST","建設","20230804","1370","-9","-0.65","1379","1370","1370","1370","200","274","4390","1079","1679"
"1439","安江工務店","東証ST","建設","20230804","1232","10","0.82","1222","1228","1233","1228","500","615","1664","922","1522"
"1443","技研ホールディングス","東証ST","建設","20230804","219","2","0.92","217","216","219","216","22300","4847","3556","137","297"
"1444","ニッソウ","東証GR","建設","20230804","2389","18","0.76","2371","2390","2390","2389","200","478","2601","1871","2871"
"1446","キャンディル","東証ST","建設","20230804","607","5","0.83","602","600","607","600","9900","5965","6516","502","702"
"1447","ITbookホールディングス","東証GR","建設","20230804","369","3","0.82","366","366","371","366","28500","10495","8912","286","446"
"1450","田中建設工業","東証ST","建設","20230804","2244","-51","-2.22","2295","2290","2290","2240","2000","4515","9761","1795","2795"
"1451","KHC","東証ST","建設","20230804","676","-2","-0.29","678","674","680","674","1500","1014","2708","578","778"
"1491","中外鉱業","東証ST","非鉄金属","20230804","29","-1","-3.33","30","30","30","29","51800","1540","8403","1","60"
"1514","住石ホールディングス","東証ST","鉱業","20230804","326","-2","-0.61","328","326","328","321","516500","167844","19199","248","408"
"1515","日鉄鉱業","東証PR","鉱業","20230804","4790","-10","-0.21","4800","4800","4850","4740","48800","234077","80015","4100","5500"
"1518","三井松島ホールディングス","東証PR","鉱業","20230804","2676","-3","-0.11","2679","2666","2690","2664","175000","468462","34960","2179","3180"
"1605","INPEX","東証PR","鉱業","20230804","1850","34","1.87","1816","1833.5","1864.5","1832","6414800","11869002","2565334","1416","2216"
"1662","石油資源開発","東証PR","鉱業","20230804","5020","115","2.34","4905","4975","5040","4955","258900","1295433","272586","4205","5610"
"1663","K＆Oエナジーグループ","東証PR","鉱業","20230804","2347","-25","-1.05","2372","2361","2364","2321","54200","126890","66505","1872","2872"
"1711","SDSホールディングス","東証ST","建設","20230804","274","1","0.37","273","273","274","270","7400","2013","2393","193","353"
"1712","ダイセキ環境ソリューション","東証PR","建設","20230804","1174","-52","-4.24","1226","1216","1216","1174","177100","211002","19755","926","1526"
"1716","第一カッター興業","東証PR","建設","20230804","1424","15","1.06","1409","1409","1428","1401","13000","18448","17088","1109","1709"
"1717","明豊ファシリティワークス","東証ST","サービス","20230804","764","4","0.53","760","761","767","760","17800","13589","9761","610","910"
"1718","美樹工業","東証ST","建設","20230804","4370","20","0.46","4350","4350","4370","4320","1300","5643","5040","3650","5050"
"1719","安藤・間","東証PR","建設","20230804","1140","7","0.62","1133","1126","1140","1124","303300","344148","206364","833","1433"
"1720","東急建設","東証PR","建設","20230804","765","3","0.39","762","762","765","759","144800","110399","81672","612","912"
"1721","コムシスホールディングス","東証PR","建設","20230804","2829.5","1","0.04","2828.5","2812","2834","2790","365100","1030423","376324","2328.5","3329"
"1723","日本電技","東証ST","建設","20230804","4425","15","0.34","4410","4400","4425","4400","2100","9264","36274","3710","5110"
"1724","シンクレイヤ","東証ST","建設","20230804","640","-2","-0.31","642","640","648","638","2000","1286","3164","542","742"
"1726","ビーアールホールディングス","東証PR","建設","20230804","392","1","0.26","391","391","395","390","72900","28556","17952","311","471"
"1730","麻生フオームクリート","東証ST","建設","20230804","419","0","0","419","419","420","414","2100","878","1433","339","499"
"1736","オーテック","東証ST","建設","20230804","-","0","0","2533","-","-","-","-","-","14438","2033","3035"
"1739","メルディアDC","東証GR","建設","20230804","782","4","0.51","778","778","782","775","2200","1712","5047","628","928"
"1743","コーアツ工業","東証ST","建設","20230804","1226","0","0","1226","1226","1226","1226","400","490","2795","926","1526"
"1757","創建エース","東証ST","建設","20230804","35","-1","-2.78","36","35","36","35","250400","8912","9170","6","66"
"1758","太洋基礎工業","東証ST","建設","20230804","2125","-30","-1.39","2155","2130","2175","2122","7400","15833","5225","1655","2655"
"1762","高松コンストラクショングループ","東証PR","建設","20230804","2677","25","0.94","2652","2648","2689","2645","39600","106017","93209","2152","3155"
"1764","工藤建設","東証ST","建設","20230804","-","0","0","2371","-","-","-","-","-","3156","1871","2871"
"1766","東建コーポレーション","東証PR","建設","20230804","7360","-40","-0.54","7400","7430","7430","7340","17600","129785","99154","5900","8900"
"1768","ソネック","東証ST","建設","20230804","964","1","0.1","963","963","967","963","3300","3181","7230","813","1113"
"1770","藤田エンジニアリング","東証ST","建設","20230804","1027","-8","-0.77","1035","1014","1033","1014","6200","6331","12016","735","1335"
"1773","ワイ・ティー・エル・コーポレーション・バーハッド（外国株）","東証PR","建設","20230804","38","2","5.56","36","36","39","36","164000","6140","-","6","66"
"1775","富士古河E＆C","東証ST","建設","20230804","4110","-50","-1.2","4160","4195","4195","4110","2500","10334","37099","3460","4860"
"1776","三井住建道路","東証ST","建設","20230804","963","7","0.73","956","955","965","955","2300","2206","8934","806","1106"
"1780","ヤマウラ","東証PR","建設","20230804","1171","1","0.09","1170","1166","1178","1166","13200","15460","24712","870","1470"
"1783","アジアゲートホールディングス","東証ST","建設","20230804","52","1","1.96","51","51","52","51","90900","4660","8842","21","81"
