"SC","名称","市場区分","申込日","発表元","確報","融資新規（株・口）","融資返済（株・口）","融資残高（株・口）","貸株新規（株・口）","貸株返済（株・口）","貸株残高（株・口）","差引残高（株・口）","差引前日比（株・口）"
"1301","極洋","東証","20240214","日証金","確報","106400","2300","107300","254200","3600","255000","-147700","-146500"
"1305","ｉＦＴＰＸ年１","東証","20240214","日証金","確報","0","0","9480","790","1650","5940","3540","860"
"1306","ＴＯＰＩＸ連動型上場","東証","20240214","日証金","確報","270","1640","37600","12620","38280","100960","-63360","24290"
"1308","上場ＴＯＰＩＸ","東証","20240214","日証金","確報","1633","180","20821","659","19505","16897","3924","20299"
"1309","中国株上証５０ＥＴＦ","東証","20240214","日証金","確報","0","0","15","0","0","0","15","0"
"130A","ＶＩＳ","東証","20240214","日証金","確報","4700","13000","17700","0","0","0","17700","-8300"
"1311","ＴＯＰＩＸＣｏｒｅ３","東証","20240214","日証金","確報","440","0","1080","440","0","1080","0","0"
"1319","日経３００上場投信","名証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","札証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","東証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"1319","日経３００上場投信","福証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"1320","ｉＦ２２５年１","東証","20240214","日証金","確報","14","0","2923","1978","1774","16061","-13138","-190"
"1321","日経２２５上場投信","東証","20240214","日証金","確報","316","1777","46236","4393","24443","103659","-57423","18589"
"1322","上場インデックス中国","東証","20240214","日証金","確報","0","10","10","0","0","0","10","-10"
"1324","ＮＦ・ロシア株ＥＴＦ","東証","20240214","日証金","確報","0","0","0","0","0","0","0","0"
"1325","ブラジル指数ボベスパ","東証","20240214","日証金","確報","0","0","3000","0","0","0","3000","0"
"1326","ＳＰＤＲゴールド","東証","20240214","日証金","確報","10","43","467","0","0","0","467","-33"
"1328","金価格連動型上場投信","東証","20240214","日証金","確報","750","0","4140","0","50","970","3170","800"
"1329","ｉシェアーズ　２２５","東証","20240214","日証金","確報","429","0","955","250","1814","2638","-1683","1993"
"1330","上場２２５","東証","20240214","日証金","確報","61","0","2984","150","4929","27271","-24287","4840"
"1332","ニッスイ","東証","20240214","日証金","確報","5300","1000","85200","9900","5600","85200","0","0"
"1333","マルハニチロ","東証","20240214","日証金","確報","300","1500","12300","0","0","1800","10500","-1200"
"133A","ＧＸ超短期米国債","東証","20240214","日証金","確報","0","4","0","0","0","0","0","-4"
