"SC","名称","市場区分","貸借申込日","決済日","発表元","貸借値段（円）","貸株超過数（株・口）","最高料率（1日・円）","品貸料率（円）","品貸料率（％）","品貸日数","前日料率（1日・円）","備考","規制"
"1306","ＴＯＰＩＸ連動型上場","東証","20231020","20231024","日証金","2356.50","2480","8.00","0.00","0","1","0.00","",""
"1330","上場２２５","東証","20231020","20231024","日証金","32430.00","0","90.00","-","0","-","-","満額",""
"1332","ニッスイ","東証","20231020","20231024","日証金","693.00","120100","1.40","0.00","0","1","-","",""
"1343","東証ＲＥＩＴ指数連動","東証","20231020","20231024","日証金","1971.00","12570","7.00","0.50","0.0253678","1","0.50","",""
"1364","ｉＳＪＰＸ日経４００","東証","20231020","20231024","日証金","20915.00","15","80.00","5.00","0.0239063","1","5.00","",""
"1367","ｉＦＴＰＸダブル","東証","20231020","20231024","日証金","25800.00","0","80.00","-","0","-","-","満額",""
"1368","ｉＦＴＰＸＷベア","東証","20231020","20231024","日証金","882.00","115","60.00","0.00","0","1","-","",""
"1369","Ｏｎｅ・日経２２５","東証","20231020","20231024","日証金","31610.00","170","90.00","0.00","0","1","-","",""
"1397","ＳＭＤＡＭ　２２５","東証","20231020","20231024","日証金","31570.00","30","90.00","5.00","0.0158378","1","5.00","",""
"1407","ウエストＨＤ","東証","20231020","20231024","日証金","3250.00","800","6.60","0.00","0","1","-","",""
"1419","タマホーム","東証","20231020","20231024","日証金","3245.00","0","6.60","-","0","-","-","満額",""
"1430","ファーストコーポ","東証","20231020","20231024","日証金","750.00","18300","1.60","0.00","0","1","0.00","",""
"1431","Ｌｉｂ　Ｗｏｒｋ","東証","20231020","20231024","日証金","796.00","84500","3.20","0.05","0.00628141","1","0.05","","注意"
"1433","ベステラ","東証","20231020","20231024","日証金","1004.00","6400","2.20","0.00","0","1","0.00","",""
"1446","キャンディル","東証","20231020","20231024","日証金","554.00","30200","1.20","0.05","0.00902527","1","0.05","",""
"1464","ｉＦＪ４００ダブル","東証","20231020","20231024","日証金","20735.00","3","80.00","5.00","0.0241138","1","-","",""
"1466","ｉＦＪ４００Ｗベア","東証","20231020","20231024","日証金","1138.00","0","60.00","-","0","-","-","満額",""
"1469","４００ベア２倍","東証","20231020","20231024","日証金","1108.00","0","7.00","-","0","-","-","満額",""
"1472","Ｊ４００ダブルインバ","東証","20231020","20231024","日証金","450.00","0","60.00","-","0","-","-","満額",""
"1475","ｉＳＴＯＰＩＸ","東証","20231020","20231024","日証金","2333.00","10190","60.00","5.00","0.214316","1","0.00","",""
"1488","ｉＦＪリート","東証","20231020","20231024","日証金","1878.50","1660","7.00","0.50","0.026617","1","0.50","",""
"1492","ＭＸＳ　中小型","東証","20231020","20231024","日証金","16700.00","4","70.00","0.00","0","1","0.00","",""
"1493","Ｏｎｅ・中小型","東証","20231020","20231024","日証金","16190.00","3","70.00","5.00","0.0308833","1","5.00","",""
"1545","ナスダックヘッジ無","東証","20231020","20231024","日証金","22325.00","3689","80.00","0.00","0","1","0.00","",""
"1546","ダウヘッジ無","東証","20231020","20231024","日証金","48640.00","558","200.00","5.00","0.0102796","1","5.00","","停止"
"1547","上場米国Ｓ＆Ｐ５００","東証","20231020","20231024","日証金","7000.00","23770","14.00","0.50","0.00714286","1","0.50","",""
"1554","上場インデＭＳ世界","東証","20231020","20231024","日証金","3663.00","0","9.00","-","0","-","-","満額",""
"1578","上場インデ２２５ミニ","東証","20231020","20231024","日証金","2508.00","0","60.00","-","0","-","-","満額",""
"1595","ＮＺＡＭ東証ＲＥＩＴ","東証","20231020","20231024","日証金","1853.00","10","7.00","0.00","0","1","0.00","",""
"1619","ＴＰＸ１７建設・資材","東証","20231020","20231024","日証金","25405.00","130","80.00","5.00","0.0196812","1","5.00","",""
"1620","ＴＰＸ１７素材・化学","東証","20231020","20231024","日証金","26595.00","0","80.00","-","0","-","-","満額",""
