"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1305","20230714","2","38130","-1270","23440","-740","1.63","26720","13650","21940","-740","11410","-14920","1500","-"
"1306","20230714","2","563710","-66520","549030","7680","1.03","421030","-70080","391570","8000","142680","3560","157460","-320"
"1308","20230714","2","116598","-32302","85940","-33760","1.36","114398","-15302","85940","-33760","2200","-17000","-","-"
"1309","20230714","2","1819","132","-","-","-","656","112","-","-","1163","20","-","-"
"1311","20230714","2","21600","6970","1390","-10","15.54","17950","5570","1390","-10","3650","1400","-","-"
"1319","20230714","2","83000","-6000","-","-","-","-","-","-","-","83000","-6000","-","-"
"1320","20230714","2","27295","-2943","25590","-428","1.07","21620","-2953","23521","-428","5675","10","2069","-"
"1321","20230714","2","245430","-33659","261724","-56723","0.94","209099","-38951","242406","-56623","36331","5292","19318","-100"
"1322","20230714","2","3630","450","-","-","-","1000","10","-","-","2630","440","-","-"
"1324","20230714","2","200","-","-","-","-","-","-","-","-","200","-","-","-"
"1325","20230714","2","210100","100","5500","-6300","38.2","65700","-11100","5500","-6300","144400","11200","-","-"
"1326","20230714","2","984","-376","132","11","7.45","720","24","132","11","264","-400","-","-"
"1328","20230714","2","17490","-2650","8400","80","2.08","7890","-4060","8400","80","9600","1410","-","-"
"1329","20230714","2","11613","-796","7824","-483","1.48","8095","-1024","7824","-483","3518","228","-","-"
"1330","20230714","2","24420","2330","37794","-1796","0.65","20915","2455","37794","-1796","3505","-125","-","-"
"1343","20230714","2","100310","-2930","37090","-1610","2.7","54890","-1830","36990","-1610","45420","-1100","100","-"
"1345","20230714","2","26100","-4000","2700","-3000","9.67","10900","-1000","2600","-3000","15200","-3000","100","-"
"1346","20230714","2","8916","1674","7898","-634","1.13","6583","667","7898","-634","2333","1007","-","-"
"1348","20230714","2","19140","-660","7050","-2430","2.71","17390","-1750","7050","-2430","1750","1090","-","-"
"1349","20230714","2","4","4","-","-","-","4","4","-","-","-","-","-","-"
"1356","20230714","2","1034270","-80930","184270","-1870","5.61","699260","-27090","184270","-1870","335010","-53840","-","-"
"1357","20230714","2","156081085","-10628636","10011412","-75582","15.59","102194184","-9166886","10011408","-75582","53886901","-1461750","4","-"
"1358","20230714","2","13052","-1259","15651","-1220","0.83","9686","-1737","15651","-1220","3366","478","-","-"
"1360","20230714","2","17301480","-1500620","1349700","273580","12.82","10599440","-815370","1349700","273580","6702040","-685250","-","-"
"1364","20230714","2","378","-97","84","-8","4.5","279","1","84","-8","99","-98","-","-"
"1365","20230714","2","30829","-416","9914","-964","3.11","10481","-392","9914","-964","20348","-24","-","-"
