"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1305","34340","2390","9840","1750","3.49"
"1306","456920","-85320","324270","-34230","1.41"
"1308","111483","27101","44609","2728","2.5"
"1309","1639","41","-","-","-"
"1311","67770","6980","930","-2540","72.87"
"1319","78000","4000","-","-","-"
"1320","23123","2028","21604","-614","1.07"
"1321","157913","-7869","179230","-3625","0.88"
"1322","4810","450","-","-","-"
"1324","200","-","-","-","-"
"1325","235300","-3700","12800","400","18.38"
"1326","661","-49","11","-","60.09"
"1328","24390","-1480","3910","20","6.24"
"1329","10473","920","4177","3","2.51"
"1330","14913","3577","35096","76","0.42"
"133A","18341","17201","-","-","-"
"1343","645800","180910","64780","7090","9.97"
"1345","97000","2300","4300","2000","22.56"
"1346","4186","-472","5378","819","0.78"
"1348","9900","1870","7800","-190","1.27"
"1349","-","-","-","-","-"
"1356","2078860","161230","247440","4430","8.4"
"1357","146554277","7693295","5064273","-1496346","28.94"
"1358","11113","-1235","14045","-42","0.79"
"1360","18358970","-1203500","1242090","-1005070","14.78"
"1364","272","24","11","-","24.73"
"1365","7823","447","11206","230","0.7"
"1366","1335688","-199839","11852","-21744","112.7"
"1367","3646","45","1459","-165","2.5"
"1368","116752","-11320","9322","1892","12.52"
"1369","1049","387","834","-55","1.26"
"1397","44","-27","36","-","1.22"
"1398","2660","570","150","-3000","17.73"
"1399","1420","410","-","-270","-"
"1456","29906","3341","178","93","168.01"
"1457","8567","-42","3","1","2855.67"
"1458","46918","-2354","71503","1531","0.66"
"1459","10214200","443542","300966","-39865","33.94"
"1464","428","-339","36","-","11.89"
"1465","-","-","-","-","-"
"1466","1263","-884","-","-","-"
"1469","23340","900","1300","60","17.95"
"1472","7248","119","151","-","48"
"1473","50","10","30","-","1.67"
"1474","-","-","-","-","-"
"1475","44362","5563","9848","644","4.5"
"1476","83168","26997","1165","199","71.39"
"1477","1648","659","-","-","-"
"1478","10380","-951","13","-3","798.46"
"1479","-","-","-","-","-"
"1480","-","-","-","-","-"
"1481","77","-25","12","-20","6.42"
"1482","242907","-11627","2360","-1613","102.93"
"1483","55","15","-","-6","-"
"1484","-","-","-","-","-"
"1485","6","4","-","-","-"
"1486","3770","93","-","-","-"
"1487","13938","-939","2","-12","6969"
"1488","65810","15240","1730","1300","38.04"
"1489","1259201","8496","4126","-1089","305.19"
"1490","-","-","-","-","-"
"1492","324","265","2","-1","162"
"1493","39","30","7","-","5.57"
"1494","827","-13","5","-7","165.4"
"1495","510","170","-","-","-"
"1496","14128","-3897","350","-","40.37"
"1497","120915","-6828","669","80","180.74"
"1498","-","-","-","-","-"
"1499","85","-14","-","-","-"
"1540","251594","14928","7050","546","35.69"
"1541","90320","-15838","13738","1116","6.57"
"1542","50894","2611","766","-175","66.44"
"1543","5073","-140","-","-","-"
"1545","116032","8810","42141","3207","2.75"
"1546","6296","-343","-","-","-"
"1547","151090","30950","53280","-3760","2.84"
"1550","54020","1840","580","-30","93.14"
"1551","3700","50","70","-10","52.86"
"1554","12780","-1190","240","-","53.25"
"1555","3150","-220","1220","-300","2.58"
"1557","2624","518","-","-","-"
"1559","2734","-79","55","-124","49.71"
"1560","3660","221","-","-","-"
"1563","322041","15138","16305","-2494","19.75"
"1566","983","24","48","3","20.48"
"1568","21100","-10190","24980","-11160","0.84"
"1569","291920","1500","610","290","478.56"
"1570","1868215","48405","1873991","-129044","1"
"1571","6573256","8141","30164","-24345","217.92"
"1572","167100","-7760","-","-","-"
"1573","26800","910","590","-150","45.42"
"1577","7815","-368","757","-3","10.32"
"1578","6357","483","5683","170","1.12"
"1579","116650","-5310","149310","-4460","0.78"
"1580","312420","-8570","10160","910","30.75"
"1585","360","-50","-","-","-"
"1586","89","35","2","-","44.5"
"1591","831","204","1267","35","0.66"
"1592","3173","2755","190","48","16.7"
"1593","358","46","689","-","0.52"
"1595","437010","58150","3300","570","132.43"
"1596","20","-","-","-","-"
"1597","115230","37580","1480","800","77.86"
"1599","15","15","-","-","-"
"1615","2235300","62200","356600","125700","6.27"
"1617","136","-27","-","-10","-"
"1618","1407","129","97","1","14.51"
"1619","346","-123","36","-1","9.61"
"1620","209","27","50","-4","4.18"
"1621","179","28","82","-6","2.18"
"1622","477","133","36","-69","13.25"
"1623","959","-5","188","-3","5.1"
"1624","39","-11","27","-1","1.44"
"1625","211","1","156","-9","1.35"
"1626","61","-22","1","-3","61"
"1627","5034","68","171","33","29.44"
"1628","773","-406","51","-7","15.16"
"1629","274","-155","237","-94","1.16"
"1630","220","-13","19","4","11.58"
"1631","2210","-121","488","53","4.53"
"1632","688","-191","158","2","4.35"
"1633","383","94","57","-12","6.72"
"1651","14850","1300","-","-","-"
"1652","10","-10","-","-10","-"
"1653","-","-","-","-","-"
"1654","-","-100","-","-","-"
"1655","3998700","717250","338350","-37680","11.82"
"1656","62470","5630","630","-","99.16"
"1657","368","20","90","-","4.09"
"1658","17997","7661","332","102","54.21"
"1659","23495","-571","2779","-176","8.45"
"1660","2806","-367","304","267","9.23"
"1671","329236","-30475","173273","10081","1.9"
"1672","1184","-","-","-","-"
"1673","-","-","-","-","-"
"1674","-","-","-","-","-"
"1675","1","-","-","-","-"
"1676","-","-","-","-","-"
"1677","490","40","20","-","24.5"
"1678","9570180","241160","391530","-51990","24.44"
"1679","280","40","560","-","0.5"
"1680","10850","2440","590","-","18.39"
"1681","59730","38630","100","-","597.3"
"1682","57900","-1600","11400","-1500","5.08"
"1684","-","-","-","-","-"
"1685","80","80","-","-","-"
"1686","-","-","-","-","-"
"1687","100","-","-","-","-"
"1688","3060","-1090","-","-","-"
"1689","6601","1020","-","-","-"
"1690","1100","-","-","-","-"
"1691","40","-","-","-","-"
"1692","500","-","-","-","-"
"1693","150","120","-","-","-"
"1694","1500","-200","-","-","-"
"1695","435","-935","-","-","-"
"1696","200","200","-","-","-"
"1697","100","-","-","-","-"
"1698","17300","1920","1510","-40","11.46"
"1699","6097870","-17980","886250","189220","6.88"
"2011","108620","-1370","4220","-460","25.74"
"2012","5420","-","-","-","-"
"2013","41080","6150","-","-","-"
"2014","366690","142910","-","-","-"
"2015","300","300","-","-","-"
"2016","212","212","-","-","-"
"2017","270540","33970","16918","-12446","15.99"
"2018","522","-88","-","-","-"
"2019","687","606","50","50","13.74"
"2031","58143","2965","-","-","-"
"2032","5414","140","-","-","-"
"2033","6","1","-","-","-"
"2034","9344","63","-","-","-"
"2036","6396","178","-","-","-"
"2037","1877","-106","-","-","-"
"2038","1541315","-53065","-","-100","-"
"2039","594366","20639","-","-","-"
"2040","8403","-131","-","-","-"
"2041","138948","-2141","-","-","-"
"2042","16239","-1755","-","-","-"
"2043","53","-","-","-","-"
"2044","4421","21","-","-","-"
"2045","-","-","-","-","-"
"2046","22261","-490","-","-","-"
"2047","3007","56","-","-","-"
"2048","143","20","-","-","-"
"2050","5","-","-","-","-"
"2065","13","1","-","-","-"
"2066","-","-","-","-","-"
"2067","58","10","-","-","-"
"2068","-","-","-","-","-"
"2069","2","-","-","-","-"
"2070","-","-","-","-","-"
"2071","62","62","-","-","-"
"2072","-","-","-","-","-"
"2073","-","-","-","-","-"
"2080","1225321","-8813","55346","3801","22.14"
"2081","21370","11034","1106","1105","19.32"
"2082","20100","172","1","1","20100"
"2083","33860","4035","152","-","222.76"
"2084","88050","-67854","2788","50","31.58"
"2085","251950","-68380","3800","-800","66.3"
"2086","10","-","-","-","-"
"2087","100","30","-","-","-"
"2088","-","-","-","-","-"
"2089","460","460","-","-","-"
"2090","-","-","-","-","-"
"2091","-","-","-","-","-"
"2092","-","-","-","-","-"
"2093","200","-50","-","-","-"
"2094","10052","813","-","-500","-"
"2095","3602","2","-","-","-"
"2096","751","404","1300","1200","0.58"
"2097","69","13","-","-","-"
"2098","1686","1550","500","500","3.37"
"2235","1590","-60","-","-","-"
"2236","27406","471","-","-","-"
"2237","2511","-100","-","-","-"
"2238","6673","-118","-","-","-"
"2239","4390","1110","-","-","-"
"2240","430","40","-","-","-"
"2241","4530","560","-","-","-"
"2242","2190","-170","160","-310","13.69"
"2243","710220","268207","25479","22842","27.87"
"2244","1137593","283107","3960","477","287.27"
"2245","4810","460","-","-","-"
"2246","10","-10","-","-","-"
"2247","526","66","-","-","-"
"2248","290","-","-","-","-"
"2249","3375","46","-","-","-"
"2250","1860","-","-","-","-"
"2251","50820","2030","-","-","-"
"2252","6831","-6979","114","-","59.92"
"2253","289","-175","-","-","-"
"2254","18922","8660","50","-","378.44"
"2255","569800","-42150","-","-","-"
"2256","5630","-","-","-","-"
"2257","310","100","-","-","-"
"2258","24150","10990","-","-","-"
"2259","26410","300","-","-","-"
"2510","4000","-690","1210","-","3.31"
"2511","37590","-290","-","-","-"
"2512","16840","150","-","-","-"
"2513","44160","9690","970","570","45.53"
"2514","8660","-260","-","-","-"
"2515","29340","10","230","-350","127.57"
