"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"1305","26810","-110","10570","840","2.54"
"1306","302950","15130","379200","81370","0.8"
"1308","12400","-12900","79300","9800","0.16"
"1309","1686","-61","-","-","-"
"1311","7600","630","1020","760","7.45"
"1319","66000","-","-","-","-"
"1320","25283","-8358","26517","6748","0.95"
"1321","102466","-4690","146184","41347","0.7"
"1322","2620","50","-","-","-"
"1324","200","-","-","-","-"
"1325","237400","-6400","27800","9700","8.54"
"1326","337","-33","91","55","3.7"
"1328","17610","450","6730","870","2.62"
"1329","3027","383","3237","775","0.94"
"1330","11460","-14340","33690","12760","0.34"
"1343","159240","-10930","23730","-25120","6.71"
"1345","35300","-7500","7800","-1900","4.53"
"1346","6582","3150","4009","1231","1.64"
"1348","13220","8320","1480","520","8.93"
"1349","-","-1","-","-","-"
"1356","759690","178790","184560","-23060","4.12"
"1357","99161340","26225406","6064635","-1001468","16.35"
"1358","12130","-5906","9949","3329","1.22"
"1360","11754400","2807210","618950","-317880","18.99"
"1364","108","-211","33","10","3.27"
"1365","33598","-9377","11987","4126","2.8"
"1366","917547","114245","265700","-8729","3.45"
"1367","3176","-1647","4277","1467","0.74"
"1368","92269","29567","643","-4523","143.5"
"1369","426","-47","1382","1068","0.31"
"1385","136","-35","-","-","-"
"1386","391","4","-","-","-"
"1387","4","-4","-","-","-"
"1388","1","-1","-","-","-"
"1389","66","-9","-","-","-"
"1390","284","-100","-","-","-"
"1391","142","78","-","-","-"
"1392","32","-9","-","-","-"
"1393","124","7","-","-","-"
"1394","10","6","-","-","-"
"1397","-","-","-","-","-"
"1398","2260","780","200","-","11.3"
"1399","-","-","-","-","-"
"1456","5156","500","101","49","51.05"
"1457","2726","356","90","-","30.29"
"1458","95825","-68341","102428","27867","0.94"
"1459","5335205","1965075","141486","-107612","37.71"
"1464","688","-77","203","-","3.39"
"1465","3","-","-","-","-"
"1466","698","505","-","-147","-"
"1467","1390","70","-","-","-"
"1468","240","10","-","-","-"
"1469","10400","5330","1650","-130","6.3"
"1472","5339","348","2","-","2669.5"
"1473","140","-230","-","-","-"
"1474","-","-","-","-","-"
"1475","8605","-3814","14410","10433","0.6"
"1476","6124","-1580","1481","648","4.14"
"1477","-","-6","-","-","-"
"1478","2992","-6472","261","83","11.46"
"1479","291","-1","-","-","-"
"1480","-","-","-","-","-"
"1481","243","-91","59","4","4.12"
"1482","65833","-2163","2386","339","27.59"
"1483","433","39","-","-","-"
"1484","40","-","-","-","-"
"1485","-","-","-","-","-"
"1486","5443","-1224","-","-","-"
"1487","4036","-687","113","83","35.72"
"1488","18980","-4680","3100","580","6.12"
"1489","26585","-8919","2728","1535","9.75"
"1490","-","-","-","-","-"
"1492","88","29","31","8","2.84"
"1493","4","-3","28","22","0.14"
"1494","65","37","100","100","0.65"
"1495","330","-160","20","-","16.5"
"1496","11169","-2434","88","-","126.92"
"1497","87649","-965","1743","159","50.29"
"1498","-","-3","-","-","-"
"1499","51","-","-","-7","-"
"1540","221167","-7419","26807","-1631","8.25"
"1541","88319","2072","2657","-216","33.24"
"1542","35068","-1371","2759","1225","12.71"
"1543","3091","-349","-","-","-"
"1545","93335","-12859","50563","4024","1.85"
"1546","17483","-2787","5618","65","3.11"
"1547","177260","-32610","47250","-880","3.75"
"1550","34890","-6320","490","100","71.2"
"1551","920","30","150","-","6.13"
"1552","6243365","968546","1000","-2970","6243.36"
"1554","19840","-540","1600","1030","12.4"
"1555","10830","-1270","710","-100","15.25"
"1557","1907","-97","-","-","-"
"1559","7767","28","37","-","209.92"
"1560","3062","-3","24","-1","127.58"
"1563","81778","8432","15565","-2233","5.25"
"1566","2932","1084","152","102","19.29"
"1568","67260","-29170","32600","10010","2.06"
"1569","27010","2750","20","-80","1350.5"
"1570","3137163","-1886354","2587236","990745","1.21"
"1571","3306566","466375","2832","-5713","1167.57"
"1572","81810","-5820","-","-","-"
"1573","8910","-410","290","-10","30.72"
"1577","2110","-448","87","71","24.25"
"1578","1156","-111","508","75","2.28"
"1579","187680","-137840","233370","51990","0.8"
"1580","96240","24990","310","-920","310.45"
"1585","-","-","290","290","-"
"1586","612","483","444","412","1.38"
"1591","452","-49","50","-10","9.04"
"1592","146","-8","35","-","4.17"
"1593","56","-46","650","607","0.09"
"1595","4280","1280","950","-1130","4.51"
"1596","-","-","-","-","-"
"1597","4850","-1290","340","-200","14.26"
"1599","-","-","-","-","-"
"1615","2871100","203400","940900","-590700","3.05"
"1617","38","-38","14","9","2.71"
"1618","678","162","53","-2","12.79"
"1619","68","1","284","71","0.24"
"1620","42","-23","22","3","1.91"
"1621","382","-49","31","10","12.32"
"1622","225","-4","136","-44","1.65"
"1623","522","-122","91","-57","5.74"
"1624","33","-7","60","5","0.55"
"1625","68","-19","46","-10","1.48"
"1626","107","-17","22","-2","4.86"
"1627","1937","-229","197","29","9.83"
"1628","1270","-461","76","51","16.71"
"1629","144","-26","106","11","1.36"
"1630","16","-12","60","60","0.27"
"1631","5513","-151","1154","-171","4.78"
"1632","1450","-41","37","8","39.19"
"1633","131","-3","141","4","0.93"
"1651","10680","-20","2070","1980","5.16"
"1652","-","-","-","-","-"
"1653","-","-10","-","-","-"
"1654","-","-","-","-","-"
"1655","2633550","-424030","439770","78390","5.99"
"1656","119750","-2140","1580","-12820","75.79"
"1657","926","155","55","4","16.84"
"1658","26707","-4393","30","4","890.23"
"1659","28180","-1603","7070","-1383","3.99"
"1660","1400","-18","23","-","60.87"
"1671","643912","-299692","82420","22788","7.81"
"1672","90","-23","-","-","-"
"1673","100","-","-","-","-"
"1674","200","-","-","-","-"
"1675","166","30","-","-","-"
"1676","-","-","-","-","-"
"1677","920","-","-","-","-"
"1678","3899400","61100","183300","-94400","21.27"
"1679","1030","-270","180","-10","5.72"
"1680","20160","1120","240","190","84"
"1681","12810","-6890","1560","670","8.21"
"1682","36900","-5700","6500","-600","5.68"
"1684","100","-","-","-","-"
"1685","-","-","-","-","-"
"1686","-","-","-","-","-"
"1687","10","-1000","-","-","-"
"1688","9230","-50","-","-","-"
"1689","37343800","8866000","-","-","-"
"1690","460","-","-","-","-"
"1691","10","-20","-","-","-"
"1692","1100","-","-","-","-"
"1693","510","60","-","-","-"
"1694","1080","-140","-","-","-"
"1695","406700","-16700","-","-","-"
"1696","30900","-300","-","-","-"
"1697","-","-","-","-","-"
"1698","3890","-1990","110","80","35.36"
"1699","12444850","-910460","631000","75920","19.72"
"2031","20896","-2594","-","-","-"
"2032","3865","-61","-","-","-"
"2033","43","-4","-","-","-"
"2034","19280","-1098","-","-","-"
"2036","6986","-108","-","-","-"
"2037","4608","334","-","-","-"
"2038","4650721","-678990","-","-","-"
"2039","317901","-27375","-","-","-"
"2040","25444","-3054","-","-","-"
"2041","119099","-11273","-","-","-"
"2042","10651","-1072","-","-","-"
"2043","42","19","-","-","-"
"2044","9412","-192","-","-","-"
"2045","-","-10","-","-","-"
"2046","16236","-373","-","-","-"
"2047","2161","-99","-","-","-"
"2048","610","-","-","-","-"
"2050","-","-1","-","-","-"
"2065","2","-4","-","-","-"
"2066","7","-","-","-","-"
"2067","-","-","-","-","-"
"2068","-","-","-","-","-"
"2069","-","-","-","-","-"
"2070","-","-","-","-","-"
"2071","-","-","-","-","-"
"2072","9","-","-","-","-"
"2073","-","-","-","-","-"
"2235","900","-40","-","-","-"
"2236","60748","-17606","-","-","-"
"2237","675","-1768","-","-","-"
"2238","5360","-374","-","-","-"
"2239","510","-40","-","-","-"
"2240","160","120","-","-","-"
"2241","1120","-27740","-","-","-"
"2242","1520","950","-","-","-"
"2510","9040","-180","9070","-400","1"
"2511","52300","38230","-","-","-"
"2512","9370","2850","1000","-200","9.37"
"2513","38320","9290","1580","680","24.25"
"2514","57430","-4230","260","60","220.88"
"2515","22210","1670","740","-1510","30.01"
"2516","2034880","26750","1099220","9010","1.85"
"2517","1320","60","-","-","-"
"2518","51988","-628","5324","-1656","9.76"
"2519","10360","100","20","20","518"
"2520","38760","14360","50","50","775.2"
"2521","901760","48230","29960","-6550","30.1"
"2522","3100","-555","1181","-1","2.62"
"2523","30","10","-","-","-"
"2524","20","20","110","110","0.18"
"2525","-","-","-","-","-"
"2526","10","-","-","-","-"
"2527","-","-","-","-","-"
"2528","3210","-","-","-","-"
"2529","1347","-838","2","1","673.5"
"2530","29","6","-","-","-"
"2552","357","50","-","-12","-"
"2553","260","-","-","-","-"
"2554","8140","-140","-","-","-"
"2555","1230","300","710","-","1.73"
"2556","9360","-180","100","-130","93.6"
"2557","-","-","-","-","-"
"2558","109616","-4533","14980","2297","7.32"
"2559","50569","-1228","1079","122","46.87"
"2560","-","-","-","-","-"
"2561","32402","-480","31105","1080","1.04"
"2562","57090","-3640","25370","-1570","2.25"
"2563","12757740","-1889710","253720","39640","50.28"
"2564","44471","409","200","186","222.35"
"2565","2195","31","1084","1044","2.02"
"2566","2360","-","-","-","-"
"2567","1150","-","140","-","8.21"
"2568","59340","-4230","28700","930","2.07"
"2569","175380","-24440","-","-","-"
"2620","20770","1610","-","-","-"
"2621","1365752","90497","13337","10946","102.4"
"2622","5501","-400","-","-","-"
"2623","-","-","-","-","-"
"2624","745","-246","43","-11","17.33"
"2625","82","-49","1","-","82"
"2626","1932","-154","19","9","101.68"
"2627","2115","3","-","-","-"
"2628","1441","-10","524","-","2.75"
"2629","959","-37","98","-","9.79"
"2630","75488","-4439","793","61","95.19"
"2631","46892","26","22836","9347","2.05"
"2632","33786","3621","8830","-556","3.83"
"2633","93600","-4180","14730","-1900","6.35"
"2634","323530","-12630","62430","-890","5.18"
"2635","3610","50","240","30","15.04"
"2636","4394","3835","22","-","199.73"
"2637","818","-4","54","4","15.15"
"2638","1211","-126","54","4","22.43"
"2639","31228","-19","58","8","538.41"
"2640","522","-214","20","2","26.1"
"2641","181","-17","-","-","-"
"2642","-","-","-","-","-"
"2643","76","30","-","-","-"
"2644","22742","115","7263","1235","3.13"
"2645","20636","-300","24","3","859.83"
"2646","36","-2","-","-","-"
"2647","220","-","-","-","-"
"2648","320","-","-","-","-"
"2649","-","-","-","-","-"
"2836","33","-1","30","-","1.1"
"2837","30","-1","30","-","1"
"2838","275","-","-","-","-"
"2839","19","-137","-","-","-"
"2840","1281","-182","775","25","1.65"
"2841","33467","-3295","13991","-1137","2.39"
"2842","76792","-6584","3750","715","20.48"
"2843","-","-","-","-","-"
"2844","260","-","-","-","-"
"2845","181420","8920","45040","-3340","4.03"
"2846","44440","8380","32680","5040","1.36"
"2847","103","-4","-","-","-"
"2848","2","-1","-","-","-"
"2849","712","552","19","-","37.47"
"2850","-","-","-","-","-"
"2851","1870","70","-","-","-"
"2852","40","-","10","-","4"
"2853","-","-","-","-","-"
"2854","1474","532","406","356","3.63"
"2855","47","13","4","4","11.75"
"2856","17280","3280","-","-","-"
"2857","250","150","-","-","-"
"2858","117","-305","1","1","117"
"2859","6390","-","5470","-1560","1.17"
"2860","3910","10","9310","1770","0.42"
"2861","-","-","-","-","-"
"2862","-","-","-","-","-"
"2863","-","-","-","-","-"
"2864","535","-15","-","-","-"
"2865","21213","-52352","785","333","27.02"
"2866","103814","-2995","724","103","143.39"
"2867","2456","790","-","-","-"
"2868","28283","-6399","107","107","264.33"
"2869","16011","1760","25","-","640.44"
"2870","15473","-288","-","-","-"
