"SC","日付","始値","高値","安値","終値","VWAP","出来高","売買代金","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値"
"1305","20230711","2359.5","2360","2334","2341","2346.5592","39670","93088005","2359.5","2360","2348.5","2349.5","2347.5","2352","2334","2341"
"1306","20230711","2334","2337","2309","2316","2321.4774","1028970","2388730580","2334","2337","2323","2325.5","2323.5","2326","2309","2316"
"1308","20230711","2306","2309","2283","2289","2299.3327","443192","1019045840","2306","2309","2297","2299","2295","2298","2283","2289"
"1309","20230711","38350","38540","38200","38540","38260.6557","122","4667800","38350","38450","38200","38200","38200","38540","38200","38540"
"1311","20230711","1138","1144","1121","1126","1130.358","17250","19498675","1138","1144","1128","1130","1130","1130.5","1121","1126"
"1319","20230711","372","378.1","372","378","375.5","11000","4130500","372","378.1","372","378.1","377.7","378","375","378"
"1320","20230711","33230","33280","32870","32990","33085.462","86717","2869072010","33230","33280","33050","33060","33070","33120","32870","32990"
"1321","20230711","33360","33410","32970","33130","33239.4546","265870","8837373800","33360","33410","33160","33190","33200","33250","32970","33130"
"1322","20230711","7592","7606","7533","7595","7586.5","520","3944980","7592","7592","7533","7533","7557","7606","7557","7595"
"1324","20230711","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1325","20230711","219.9","221","218.1","218.7","219.5302","69600","15279300","219.9","221","218.1","219.4","220","220","218.7","218.7"
"1326","20230711","25300","25340","25200","25240","25265.1526","16683","421498540","25300","25340","25235","25235","25235","25270","25200","25240"
"1328","20230711","6754","6763","6729","6748","6740.7","26600","179302620","6754","6763","6738","6744","6744","6748","6729","6748"
"1329","20230711","33790","33860","33450","33570","33679.8887","13209","444877650","33790","33860","33630","33640","33660","33700","33450","33570"
"1330","20230711","33360","33420","33020","33170","33232.8314","16458","546945940","33360","33420","33210","33230","33220","33260","33020","33170"
"1343","20230711","2001.5","2015","2000","2008","2009.1297","165650","332812335","2001.5","2015","2000","2010","2011.5","2013","2005","2008"
"1345","20230711","1874","1889","1874","1882","1882.5781","12800","24097000","1874","1888","1874","1888","1886.5","1889","1881.5","1882"
"1346","20230711","33770","33800","33380","33490","33595.9137","21944","737228730","33770","33800","33570","33570","33610","33640","33380","33490"
"1348","20230711","2361","2361.5","2334.5","2340","2347.5404","130980","307480845","2361","2361.5","2349","2350","2349","2352","2334.5","2340"
