"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"1305","iFreeETF_TOPIX（年1回決算型）","東証","ETF","20240301","2867.5","39","1.38","2828.5","2832","2869.5","2832","83320","237856","-","2328.5","3329"
"1306","NEXT_FUNDS_TOPIX連動型上場投信","東証","ETF","20240301","2834.5","29.5","1.05","2805","2802","2839.5","2801","1612040","4557226","-","2305","3305"
"1308","上場インデックスファンドTOPIX","東証","ETF","20240301","2803","39","1.41","2764","2767","2805","2767","119692","334142","-","2264","3265"
"1309","NEXT_FUNDS_ChinaAMC・中国株式・上証50連動型上場投信","東証","ETF","20240301","38850","10","0.03","38840","38500","39170","38500","102","3973","-","31840","45840"
"1311","NEXT_FUNDS_TOPIX_Core_30連動型上場投信","東証","ETF","20240301","1441","28","1.98","1413","1417","1445","1417","22980","32918","-","1113","1713"
"1319","NEXT_FUNDS_日経300株価指数連動型上場投信","東証","ETF","20240301","490.5","0.5","0.1","490","489","490.5","489","4000","1960","-","410","570"
"1320","iFreeETF_日経225（年1回決算型）","東証","ETF","20240301","41260","760","1.88","40500","40650","41350","40610","37695","1547909","-","33500","47500"
"1321","NEXT_FUNDS_日経225連動型上場投信","東証","ETF","20240301","41440","770","1.89","40670","40810","41500","40760","435386","17965316","-","33670","47670"
"1322","上場インデックスファンド中国A株（パンダ）E_Fund_CSI300","東証","ETF","20240301","7401","-1","-0.01","7402","7373","7529","7373","7990","59553","-","5902","8902"
"1324","NEXT_FUNDS_ロシア株式指数連動型上場投信","東証","ETF","20240301","-","0","0","88.6","-","-","-","-","-","-","58.6","118.6"
"1325","NEXT_FUNDS_ブラジル株式指数・ボベスパ連動型上場投信","東証","ETF","20240301","250.8","-3","-1.18","253.8","251","251","248.5","47900","11964","-","173.8","333.8"
"1326","SPDRゴールド・シェア受益証券","東証","ETF","20240301","28490","215","0.76","28275","28440","28520","28405","2833","80662","-","23275","33280"
"1328","NEXT_FUNDS_金価格連動型上場投信","東証","ETF","20240301","7552","61","0.81","7491","7537","7561","7531","7340","55389","-","5991","8991"
"1329","iシェアーズ・コア_日経225_ETF","東証","ETF","20240301","41330","770","1.9","40560","40720","41390","40650","34344","1412181","-","33560","47560"
"1330","上場インデックスファンド225","東証","ETF","20240301","41500","800","1.97","40700","40880","41550","40840","41579","1719246","-","33700","47700"
"133A","グローバルX_超短期米国債_ETF","東証","ETF","20240301","1026","0","0","1026","1023","1026","1023","16126","16512","-","726","1326"
"1343","NEXT_FUNDS_東証REIT指数連動型上場投信","東証","ETF","20240301","1825.5","-12","-0.65","1837.5","1844","1844","1822","977080","1788431","-","1437.5","2237.5"
"1345","上場インデックスファンドJリート（東証REIT指数）隔月分配型","東証","ETF","20240301","1728.5","-11","-0.63","1739.5","1750","1750","1725.5","67500","117038","-","1339.5","2139.5"
"1346","MAXIS_日経225上場投信","東証","ETF","20240301","41210","780","1.93","40430","40600","41300","40560","26966","1105768","-","33430","47430"
"1348","MAXIS_トピックス上場投信","東証","ETF","20240301","2802.5","36","1.3","2766.5","2770.5","2806.5","2768.5","68120","190511","-","2266.5","3267"
"1349","ABF汎アジア債券インデックス・ファンド（アジア国債・公債ETF）","東証","ETF","20240301","15940","-115","-0.72","16055","15980","15980","15940","7","112","-","12055","20055"
