"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"1305","iFreeETF_TOPIX（年1回決算型）","東証","ETF","20230410","2112.5","12.5","0.6","2100","2113","2118.5","2109","83910","177199","-","1600","2600"
"1306","NEXT_FUNDS_TOPIX連動型上場投信","東証","ETF","20230410","2087.5","12","0.58","2075.5","2089","2096","2084.5","666900","1393278","-","1575.5","2575.5"
"1308","上場インデックスファンドTOPIX","東証","ETF","20230410","2063.5","10.5","0.51","2053","2064","2070.5","2061","42500","87844","-","1553","2553"
"1309","NEXT_FUNDS_ChinaAMC・中国株式・上証50連動型上場投信","東証","ETF","20230410","40090","540","1.37","39550","40020","40090","39630","93","3709","-","32550","46550"
"1311","NEXT_FUNDS_TOPIX_Core_30連動型上場投信","東証","ETF","20230410","975.1","-0.3","-0.03","975.4","975.4","978.9","972.1","830","809","-","825.4","1125.5"
"1319","NEXT_FUNDS_日経300株価指数連動型上場投信","東証","ETF","20230410","354.6","9.6","2.78","345","345","354.6","345","3000","1053","-","265","425"
"1320","iFreeETF_日経225（年1回決算型）","東証","ETF","20230410","28790","145","0.51","28645","28820","28890","28740","10261","295669","-","23645","33650"
"1321","NEXT_FUNDS_日経225連動型上場投信","東証","ETF","20230410","28890","160","0.56","28730","28905","28980","28830","183036","5288231","-","23730","33730"
"1322","上場インデックスファンド中国A株（パンダ）E_Fund_CSI300","東証","ETF","20230410","7827","-89","-1.12","7916","7827","7827","7827","20","157","-","6416","9416"
"1324","NEXT_FUNDS_ロシア株式指数連動型上場投信","東証","ETF","20230410","-","0","0","88.6","-","-","-","-","-","-","58.6","118.6"
"1325","NEXT_FUNDS_ブラジル株式指数・ボベスパ連動型上場投信","東証","ETF","20230410","195.6","0.1","0.05","195.5","196.5","196.5","194.5","6700","1312","-","145.5","245.5"
"1326","SPDRゴールド・シェア受益証券","東証","ETF","20230410","24595","-45","-0.18","24640","24635","24665","24540","5047","124148","-","19640","29640"
"1328","NEXT_FUNDS_金価格連動型上場投信","東証","ETF","20230410","6569","-15","-0.23","6584","6581","6593","6558","23920","157395","-","5584","7584"
"1329","iシェアーズ・コア_日経225_ETF","東証","ETF","20230410","28770","150","0.52","28620","28810","28880","28730","11039","317713","-","23620","33620"
"1330","上場インデックスファンド225","東証","ETF","20230410","28895","135","0.47","28760","28925","29000","28850","16150","466895","-","23760","33760"
"1343","NEXT_FUNDS_東証REIT指数連動型上場投信","東証","ETF","20230410","1949","-3","-0.15","1952","1952","1956","1943","119850","233508","-","1552","2352"
"1345","上場インデックスファンドJリート（東証REIT指数）隔月分配型","東証","ETF","20230410","1827.5","-2","-0.11","1829.5","1832","1833.5","1822.5","22100","40392","-","1429.5","2229.5"
"1346","MAXIS_日経225上場投信","東証","ETF","20230410","28715","150","0.53","28565","28740","28820","28660","10098","290025","-","23565","33570"
"1348","MAXIS_トピックス上場投信","東証","ETF","20230410","2064","11.5","0.56","2052.5","2065","2071","2061.5","48720","100615","-","1552.5","2552.5"
"1349","ABF汎アジア債券インデックス・ファンド（アジア国債・公債ETF）","東証","ETF","20230410","14515","105","0.73","14410","14515","14515","14510","44","639","-","11410","17410"
"1356","TOPIXベア2倍上場投信","東証","ETF","20230410","839.5","-10.6","-1.25","850.1","839","842.4","833.7","243510","204268","-","700.1","1000.5"
"1357","NEXT_FUNDS_日経平均ダブルインバース・インデックス連動型上場投信","東証","ETF","20230410","334","-3","-0.89","337","333","336","331","31731725","10589100","-","257","417"
"1358","上場インデックスファンド日経レバレッジ指数","東証","ETF","20230410","26895","255","0.96","26640","26965","27095","26825","14899","401287","-","21640","31640"
"1360","日経平均ベア2倍上場投信","東証","ETF","20230410","816.6","-9","-1.09","825.6","814.8","819.8","811","8055150","6577847","-","675.6","975.6"
"1364","iシェアーズ_JPX日経400_ETF","東証","ETF","20230410","18325","85","0.47","18240","18355","18355","18315","114","2091","-","14240","22240"
"1365","iFreeETF_日経平均レバレッジ・インデックス","東証","ETF","20230410","22375","225","1.02","22150","22440","22540","22310","9962","223303","-","17150","27150"
"1366","iFreeETF_日経平均ダブルインバース・インデックス","東証","ETF","20230410","869","-9","-1.03","878","867","873","864","262571","228116","-","728","1028"
"1367","iFreeETF_TOPIXレバレッジ（2倍）指数","東証","ETF","20230410","19750","225","1.15","19525","19750","19890","19680","10786","213167","-","15525","23525"
"1368","iFreeETF_TOPIXダブルインバース（-2倍）指数","東証","ETF","20230410","1219","-15","-1.22","1234","1216","1222","1209","11693","14225","-","934","1534"
"1369","One_ETF_日経225","東証","ETF","20230410","27885","110","0.4","27775","27925","27985","27860","2162","60293","-","22775","32780"
"1385","UBS_ETF_ユーロ圏大型株50（ユーロ・ストックス50）","東証","ETF","20230410","6280","60","0.96","6220","6250","6280","6230","423","2649","-","5220","7220"
"1386","UBS_ETF_欧州株（MSCI_ヨーロッパ）","東証","ETF","20230410","10820","40","0.37","10780","10835","11045","10800","144","1570","-","7780","13780"
"1387","UBS_ETF_ユーロ圏株（MSCI_EMU）","東証","ETF","20230410","20795","5","0.02","20790","20795","20795","20795","1","21","-","15790","25790"
"1388","UBS_ETF_ユーロ圏小型株（MSCI_EMU小型株）","東証","ETF","20230410","-","0","0","16850","-","-","-","-","-","-","12330","20330"
"1389","UBS_ETF_英国大型株100（FTSE_100）","東証","ETF","20230410","11700","50","0.43","11650","11650","11700","11650","19","222","-","8650","14650"
"1390","UBS_ETF_MSCIアジア太平洋株（除く日本）","東証","ETF","20230410","5700","40","0.71","5660","5670","5700","5660","81","460","-","4660","6660"
"1391","UBS_ETF_スイス株（MSCIスイス20/35）","東証","ETF","20230410","3095","15","0.49","3080","3100","3115","3085","803","2488","-","2380","3780"
"1392","UBS_ETF_英国株（MSCI英国）","東証","ETF","20230410","3185","5","0.16","3180","3185","3210","3185","84","268","-","2480","3880"
"1393","UBS_ETF_米国株（MSCI米国）","東証","ETF","20230410","51970","470","0.91","51500","52100","52470","51970","57","2970","-","41500","61500"
"1394","UBS_ETF_先進国株（MSCIワールド）","東証","ETF","20230410","37150","-200","-0.54","37350","37150","37150","37150","12","446","-","30350","44350"
