"SC","指数名","日付","終値","前日比","前日比（％）","前日終値","時価総額（指数用・浮動株ベース）","時価総額前日比","前日時価総額","平均時価総額","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20240301","2709.42","33.69","1.26","2675.73","513415831569469","6384059935956","507031771633513","23868704396535","18949287170053","2151","207774265868"
"0002","大型","20240301","2695.65","39.84","1.5","2655.81","338846081771559","5008142087140","333837939684420","342268769466221","12570087229269","99","124582767950"
"0003","中型","20240301","2824.54","26.72","0.96","2797.82","133226090689231","1260105748158","131965984941073","33389997666474","4716742931199","399","56939144011"
"0004","小型","20240301","4452.13","12.47","0.28","4439.66","41343659108678","115812100658","41227847008020","2501128802703","928626736506","1653","26252353907"
"0028","TOPIX Core30","20240301","1434.26","22.11","1.57","1412.15","208215420356340","3210842343285","205004578013055","694051401187800","145172348217064","30","83814734132"
"0029","TOPIX Large70","20240301","2703.1","37.19","1.4","2665.91","130630661415219","1797299743854","128833361671365","189319799152491","48326304019324","69","40768033818"
"002A","TOPIX 100","20240301","1869.9","27.64","1.5","1842.26","338846081771559","5008142087140","333837939684420","342268769466221","181210717688908","99","124582767950"
"002B","TOPIX Mid400","20240301","2684.27","25.39","0.95","2658.88","133226090689231","1260105748158","131965984941073","33389997666474","49632194121147","399","56939144011"
"002C","TOPIX 500","20240301","2120.16","28.15","1.35","2092.01","472072172460790","6268247835298","465803924625493","94793608927870","222658534893079","498","181521911960"
"002D","TOPIX Small","20240301","3015.73","8.45","0.28","3007.28","41343659108678","115812100658","41227847008020","2501128802703","13709341838731","1653","26252353907"
"002E","TOPIX 1000","20240301","2564.76","32.71","1.29","2532.05","499812112218680","6373501273706","493438610944975","50131606039988","194877099083350","997","196825769809"
"002F","TOPIX Small500","20240301","1323.89","5.02","0.38","1318.87","27739939757890","105253438408","27634686319482","5559106163906","20953342066143","499","15303857848"
"0040","水産・農林業","20240301","588.64","-1.08","-0.18","589.72","414955838000","-763663613","415719501612","5186947974994","70493843833","8","281341718"
"0041","鉱業","20240301","619.98","15.86","2.63","604.12","1590932492947","40697815795","1550234677152","26515541549114","256609000546","6","699612136"
"0042","建設業","20240301","1629.85","9.74","0.6","1620.11","10156364530967","60701858582","10095662672385","10690910032597","623148015178","95","4506302780"
"0043","食料品","20240301","2216.92","4.71","0.21","2212.21","15790094713911","33529914688","15756564799222","18360575248733","712254416220","86","4412043989"
"0044","繊維製品","20240301","633.96","2.35","0.37","631.61","1766611619225","6555368229","1760056250996","4529773382629","278664064731","39","1593686961"
"0045","パルプ・紙","20240301","527.98","-5.94","-1.11","533.92","781062861111","-8795785065","789858646175","7100571464643","147934698582","11","917510563"
"0046","化学","20240301","2616.2","41.68","1.62","2574.52","29676676929539","472735580675","29203941348864","19784451286359","11343441070534","150","10324755469"
"0047","医薬品","20240301","3743.07","17.17","0.46","3725.9","23134339762526","106090521407","23028249241120","62525242601422","6180585354450","37","6065015150"
"0048","石油・石炭製品","20240301","1656.16","33.59","2.07","1622.57","2486151259916","50420326218","2435730933699","27623902887958","150115413472","9","3111373589"
"0049","ゴム製品","20240301","4740.49","-4.92","-0.1","4745.41","3484004186740","-3618130738","3487622317478","31672765334000","73494641695","11","763254837"
"004A","ガラス・土石製品","20240301","1432.74","11.7","0.82","1421.04","3457011275751","28230848079","3428780427673","10803160236722","241286679493","32","1068511955"
"004B","鉄鋼","20240301","858.62","13.61","1.61","845.01","4965849539267","78685096748","4887164442519","16018869481506","578353902084","31","1729754587"
"004C","非鉄金属","20240301","1255.7","5.34","0.43","1250.36","3392790220112","14425276989","3378364943123","14751261826574","270191692956","23","1377323973"
"004D","金属製品","20240301","1484.31","11.98","0.81","1472.33","2680564778122","21636776793","2658928001330","6382297090767","180593060336","42","1282139323"
"004E","機械","20240301","3162.87","42.84","1.37","3120.03","28123301293888","380889010816","27742412283072","20088072352777","889170013875","140","6043862055"
"004F","電気機器","20240301","4801.24","96.55","2.05","4704.69","90408670333013","1818052284523","88590618048490","57954275854496","1883026482239","156","16635996574"
"0050","輸送用機器","20240301","5412.33","68.75","1.29","5343.58","48134797274687","611467092770","47523330181917","84447012762608","889354382707","57","17559782613"
"0051","精密機器","20240301","12312.67","198.88","1.64","12113.79","12083313777686","195173693148","11888140084538","36616102356623","98137227279","33","2608631615"
"0052","その他製品","20240301","5013.03","41.33","0.83","4971.7","11976227851567","98749612622","11877478238945","23952455703135","238901785447","50","2460233467"
"0053","電気・ガス業","20240301","503.38","3.86","0.77","499.52","6628401738183","50840569586","6577561168597","30129098809921","1316778732232","22","4414646551"
"0054","陸運業","20240301","2170.06","13.57","0.63","2156.49","13196423888280","82552296093","13113871592186","31420056876856","608112401175","42","3747403901"
"0055","海運業","20240301","1854.81","36.86","2.03","1817.95","4288121867638","85217794768","4202904072869","53601523345474","231189391376","8","858915567"
"0056","空運業","20240301","245.78","-1.43","-0.58","247.21","2092278664888","-12176500580","2104455165468","69742622162933","851293218562","3","692231238"
"0057","倉庫・運輸関連業","20240301","2707.87","-4.22","-0.16","2712.09","683296392811","-1065463027","684361855838","3105892694598","25233735243","22","244811491"
"0058","情報・通信業","20240301","5859.72","21.17","0.36","5838.55","38325160877975","138445078760","38186715799215","16519465895679","654044288159","232","50969961227"
"0059","卸売業","20240301","3816.98","54.31","1.44","3762.67","37632329003718","535376955753","37096952047965","21627775289493","9859200462536","174","9907894309"
"005A","小売業","20240301","1777.95","-6.69","-0.37","1784.64","21053690642977","-79161242071","21132851885048","10852417857204","11841540552735","194","7548715343"
"005B","銀行業","20240301","306.07","5.47","1.82","300.6","37731821173430","674541563834","37057279609596","48374129709526","123276449032269","78","20300354900"
"005C","証券、商品先物取引業","20240301","598.62","5.98","1.01","592.64","4568243401058","45646207475","4522597193583","19861927830687","7631297602306","23","4224691970"
"005D","保険業","20240301","2115.32","40.18","1.94","2075.14","13411154176695","254770051334","13156384125361","149012824185496","6340000244248","9","2980653153"
"005E","その他金融業","20240301","1049.9","14.9","1.44","1035","6070636728048","86143775770","5984492952278","22483839733509","5782120897209","27","2722469992"
"005F","不動産業","20240301","1909.9","33.44","1.78","1876.46","9792145283722","171497705987","9620647577735","12884401689108","512703310868","76","4789844107"
"0060","サービス業","20240301","2955.46","43.7","1.5","2911.76","23438407191073","346567643609","23091839547464","10417069862699","793054487537","225","10930538766"
"0070","東証グロース市場250指数","20240301","763.6","-8.79","-1.14","772.39","2395939105171","-27564757227","2423503862399","868093878685","3137688862316","276","3029418714"
"0075","REIT","20240301","1689.18","-9.69","-0.57","1698.87","13383635569704","-76776516500","13460412086204","23075233740869","7923171678997","58","8798160626"
"0080","TOPIX-17 食品","20240301","380.51","0.77","0.2","379.74","16205050551910","32766251075","16172284300835","17239415480755","4258813702234","94","4693385707"
