"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"2971","20240222","2","3240","350","369","-69","8.78","766","75","369","-69","2474","275","-","-"
"2972","20240222","1","5047","183","-","-","-","904","225","-","-","4143","-42","-","-"
"2979","20240222","2","8372","938","6","6","1395.33","7339","856","6","6","1033","82","-","-"
"2989","20240222","1","5758","-","210","-","27.42","153","-23","-","-","5605","23","210","-"
"3226","20240222","2","381","68","73","20","5.22","162","2","53","-","219","66","20","20"
"3234","20240222","2","3764","689","203","-2","18.54","1031","275","203","-2","2733","414","-","-"
"3249","20240222","2","22663","10026","66530","53043","0.34","12341","4874","43739","37534","10322","5152","22791","15509"
"3269","20240222","2","876","208","242","-","3.62","302","41","232","2","574","167","10","-2"
"3279","20240222","2","557","25","28","-15","19.89","203","22","28","-15","354","3","-","-"
"3281","20240222","2","6469","3051","43","-25","150.44","1781","934","19","-18","4688","2117","24","-7"
"3282","20240222","2","656","118","4","-","164","466","63","4","-","190","55","-","-"
"3283","20240222","2","712","73","982","205","0.73","472","38","962","204","240","35","20","1"
"3287","20240222","2","1006","5","45","-3","22.36","717","-18","44","-3","289","23","1","-"
"3290","20240222","2","1150","-10","248","-21","4.64","638","-24","248","-21","512","14","-","-"
"3292","20240222","2","4806","1740","32","-20","150.19","2911","1716","28","-20","1895","24","4","-"
"3295","20240222","2","635","-49","194","64","3.27","255","1","193","64","380","-50","1","-"
"3296","20240222","2","1103","25","14","-","78.79","335","34","12","-","768","-9","2","-"
"3309","20240222","2","4590","306","340","-83","13.5","716","221","332","-83","3874","85","8","-"
"3451","20240222","1","1764","196","-","-","-","475","-12","-","-","1289","208","-","-"
"3455","20240222","2","2482","343","14","-20","177.29","1301","272","14","-19","1181","71","-","-1"
"3459","20240222","2","3059","188","26","4","117.65","1651","125","26","4","1408","63","-","-"
"3462","20240222","2","2048","90","44","-45","46.55","1076","12","1","-23","972","78","43","-22"
"3463","20240222","1","6220","1299","-","-","-","2996","158","-","-","3224","1141","-","-"
"3466","20240222","2","1347","413","478","189","2.82","523","283","87","37","824","130","391","152"
"3468","20240222","2","9713","2238","13","-566","747.15","2836","1434","13","-566","6877","804","-","-"
"3470","20240222","1","1699","174","-","-","-","590","120","-","-","1109","54","-","-"
"3471","20240222","2","935","229","14","-15","66.79","244","112","14","-15","691","117","-","-"
"3472","20240222","1","1454","-22","-","-","-","644","-6","-","-","810","-16","-","-"
"3476","20240222","2","17105","269","195","72","87.72","4269","190","194","72","12836","79","1","-"
"3481","20240222","2","1073","168","10","2","107.3","532","304","10","2","541","-136","-","-"
"3487","20240222","2","2595","1033","22","17","117.95","1965","881","22","17","630","152","-","-"
"3488","20240222","1","2928","1080","1","-","2928","1124","265","-","-","1804","815","1","-"
"3492","20240222","2","14564","-7215","18277","-1318","0.8","7264","-7989","15512","-487","7300","774","2765","-831"
"3493","20240222","2","1047","378","3","3","349","659","312","3","3","388","66","-","-"
"8951","20240222","2","1057","108","264","79","4","545","12","231","75","512","96","33","4"
"8952","20240222","2","1357","198","16","-27","84.81","519","131","10","-24","838","67","6","-3"
"8953","20240222","2","8331","2267","361","-93","23.08","1952","871","296","-79","6379","1396","65","-14"
"8954","20240222","2","1411","89","29","-1","48.66","830","-4","16","3","581","93","13","-4"
"8955","20240222","2","377","46","10","1","37.7","205","34","4","2","172","12","6","-1"
"8956","20240222","2","2053","26","139","5","14.77","673","24","138","5","1380","2","1","-"
"8957","20240222","2","767","-3","244","9","3.14","565","7","243","9","202","-10","1","-"
"8958","20240222","2","4572","10","18","13","254","1413","-50","18","13","3159","60","-","-"
"8960","20240222","2","3142","457","23","-5","136.61","999","173","10","-1","2143","284","13","-4"
"8961","20240222","2","3072","-35","21","-66","146.29","894","-65","20","-66","2178","30","1","-"
"8963","20240222","2","63871","-643","990","-168","64.52","20307","-831","840","-166","43564","188","150","-2"
"8964","20240222","2","1365","282","55","10","24.82","477","37","14","10","888","245","41","-"
"8966","20240222","2","7090","-456","32","-20","221.56","4945","-673","31","-20","2145","217","1","-"
"8967","20240222","2","402","102","238","-28","1.69","270","83","229","-28","132","19","9","-"
"8968","20240222","2","760","-23","1155","-101","0.66","189","36","682","17","571","-59","473","-118"
"8972","20240222","2","5683","-77","83","36","68.47","3806","-914","83","36","1877","837","-","-"
"8975","20240222","2","2806","80","-","-","-","1185","39","-","-","1621","41","-","-"
"8976","20240222","2","384","42","6","4","64","292","33","5","4","92","9","1","-"
"8977","20240222","2","1264","122","601","23","2.1","387","83","596","23","877","39","5","-"
"8979","20240222","1","837","80","42","-1","19.93","438","68","-","-","399","12","42","-1"
"8984","20240222","2","2422","-701","259","-67","9.35","979","-485","224","16","1443","-216","35","-83"
"8985","20240222","2","12706","-2869","345","42","36.83","5520","-2618","328","85","7186","-251","17","-43"
"8986","20240222","2","1592","412","26","-8","61.23","683","32","26","-8","909","380","-","-"
"8987","20240222","2","2535","553","235","67","10.79","405","-54","235","68","2130","607","-","-1"
