"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"2971","20231110","2","2374","55","31","-4","76.58","642","42","31","-4","1732","13","-","-"
"2972","20231110","1","4242","-16","-","-","-","735","21","-","-","3507","-37","-","-"
"2979","20231110","2","7324","418","230","31","31.84","6761","331","210","11","563","87","20","20"
"2989","20231110","1","4047","-295","-","-","-","547","-302","-","-","3500","7","-","-"
"3226","20231110","2","166","-35","70","-9","2.37","127","-50","70","-9","39","15","-","-"
"3234","20231110","2","1395","85","53","-3","26.32","398","39","52","-4","997","46","1","1"
"3249","20231110","2","4356","238","29","-17","150.21","2289","78","29","-17","2067","160","-","-"
"3269","20231110","2","445","-38","88","-11","5.06","266","-53","77","-11","179","15","11","-"
"3279","20231110","2","660","146","8","-32","82.5","244","112","8","-32","416","34","-","-"
"3281","20231110","2","1920","-245","492","-679","3.9","675","-283","419","-381","1245","38","73","-298"
"3282","20231110","2","69","-33","22","12","3.14","37","-32","22","12","32","-1","-","-"
"3283","20231110","2","755","-123","78","-33","9.68","331","-208","78","-23","424","85","-","-10"
"3287","20231110","2","861","-58","128","3","6.73","555","-7","127","3","306","-51","1","-"
"3290","20231110","2","1787","67","196","22","9.12","1222","54","196","22","565","13","-","-"
"3292","20231110","2","1120","323","107","-2","10.47","688","231","103","-2","432","92","4","-"
"3295","20231110","2","991","481","216","-43","4.59","641","459","216","-43","350","22","-","-"
"3296","20231110","2","826","45","27","-2","30.59","196","26","25","-2","630","19","2","-"
"3309","20231110","2","4711","792","310","-95","15.2","658","376","302","-96","4053","416","8","1"
"3451","20231110","1","2256","41","-","-","-","820","50","-","-","1436","-9","-","-"
"3455","20231110","2","1015","-11","103","1","9.85","504","-59","102","1","511","48","1","-"
"3459","20231110","2","2094","510","2","-","1047","1231","322","2","-","863","188","-","-"
"3462","20231110","2","483","-242","1573","137","0.31","263","93","718","39","220","-335","855","98"
"3463","20231110","1","6896","516","15","15","459.73","1938","401","-","-","4958","115","15","15"
"3466","20231110","2","799","-40","267","-89","2.99","455","-36","139","-101","344","-4","128","12"
"3468","20231110","2","5987","512","94","16","63.69","1959","158","94","16","4028","354","-","-"
"3470","20231110","1","1347","42","-","-","-","518","16","-","-","829","26","-","-"
"3471","20231110","2","235","-36","83","-20","2.83","106","-35","83","-20","129","-1","-","-"
"3472","20231110","1","4488","-49","-","-","-","3696","-19","-","-","792","-30","-","-"
"3476","20231110","2","9612","1027","43","-35","223.53","4076","870","42","-35","5536","157","1","-"
"3481","20231110","2","411","51","7","-9","58.71","252","23","7","-9","159","28","-","-"
"3487","20231110","2","1123","-253","2","1","561.5","635","-257","2","1","488","4","-","-"
"3488","20231110","1","2862","144","-","-","-","1608","29","-","-","1254","115","-","-"
"3492","20231110","2","8325","234","842","-40","9.89","2730","124","842","-40","5595","110","-","-"
"3493","20231110","1","3551","-115","1","-","3551","3268","-122","-","-","283","7","1","-"
"8951","20231110","2","381","-11","381","43","1","131","-6","342","73","250","-5","39","-30"
"8952","20231110","2","475","13","100","-80","4.75","216","11","91","-50","259","2","9","-30"
"8953","20231110","2","6118","-559","252","-33","24.28","1997","408","203","52","4121","-967","49","-85"
"8954","20231110","2","1028","662","48","7","21.42","573","353","31","7","455","309","17","-"
"8955","20231110","2","413","96","33","9","12.52","223","74","27","9","190","22","6","-"
"8956","20231110","2","1730","-497","863","-2496","2","417","-470","819","-2045","1313","-27","44","-451"
"8957","20231110","2","295","26","155","-47","1.9","202","77","154","-47","93","-51","1","-"
"8958","20231110","2","4150","330","18","13","230.56","1455","126","18","13","2695","204","-","-"
"8960","20231110","2","1706","-120","45","-69","37.91","668","12","28","-69","1038","-132","17","-"
"8961","20231110","2","1954","140","217","-379","9","1234","146","187","-379","720","-6","30","-"
"8963","20231110","2","60288","4735","1410","-44","42.76","24405","3038","1270","-44","35883","1697","140","-"
"8964","20231110","2","589","-22","49","-3","12.02","278","-20","8","-3","311","-2","41","-"
"8966","20231110","2","1590","102","10","-29","159","476","12","9","-29","1114","90","1","-"
"8967","20231110","2","146","-21","194","-178","0.75","90","-20","186","-178","56","-1","8","-"
"8968","20231110","2","941","-128","345","116","2.73","312","-83","223","-6","629","-45","122","122"
"8972","20231110","2","4693","-682","379","-126","12.38","3998","-592","379","-126","695","-90","-","-"
"8975","20231110","2","1892","102","-","-","-","860","85","-","-","1032","17","-","-"
"8976","20231110","2","117","29","46","-27","2.54","78","29","45","-27","39","-","1","-"
"8977","20231110","2","671","120","395","-31","1.7","271","17","389","-31","400","103","6","-"
"8979","20231110","1","482","43","44","-2","10.95","175","45","-","-","307","-2","44","-2"
"8984","20231110","2","1346","-177","317","-103","4.25","706","-151","289","-33","640","-26","28","-70"
"8985","20231110","2","24395","3365","205","5","119","17913","2562","144","5","6482","803","61","-"
"8986","20231110","2","1271","47","618","-520","2.06","401","53","618","-186","870","-6","-","-334"
"8987","20231110","2","748","-34","643","42","1.16","54","2","643","42","694","-36","-","-"
