"SC","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率"
"2971","2528","199","52","-11","48.62"
"2972","4642","-123","-","-","-"
"2979","1257","239","-","-2","-"
"2989","1632","203","-","-","-"
"3226","54","-30","44","-4","1.23"
"3234","1084","-385","38","-111","28.53"
"3249","909","-53","219","-18","4.15"
"3269","367","-200","120","-65","3.06"
"3278","260","-118","52","-19","5"
"3279","716","-15","38","17","18.84"
"3281","1824","-435","2898","-48","0.63"
"3282","46","-27","607","-25","0.08"
"3283","481","-13","90","5","5.34"
"3287","1168","-381","89","36","13.12"
"3290","1997","-173","135","-","14.79"
"3292","471","9","172","62","2.74"
"3295","525","55","246","45","2.13"
"3296","833","-38","42","-21","19.83"
"3309","4446","-1057","764","74","5.82"
"3451","1792","10","-","-","-"
"3453","1816","1154","421","-42","4.31"
"3455","445","4","236","-5","1.89"
"3459","1010","13","-","-","-"
"3462","2464","147","223","-305","11.05"
"3463","5441","39","37","15","147.05"
"3466","2297","-1355","2248","-1258","1.02"
"3468","4697","323","85","32","55.26"
"3470","1384","80","-","-","-"
"3471","318","31","194","29","1.64"
"3472","5334","260","-","-","-"
"3476","9500","182","183","43","51.91"
"3481","245","-37","42","6","5.83"
"3487","774","-55","110","4","7.04"
"3488","2475","-174","-","-","-"
"3492","8633","-695","46","8","187.67"
"3493","1144","122","-","-","-"
"8951","1614","-72","343","116","4.71"
"8952","668","-72","73","-19","9.15"
"8953","10460","190","110","-48","95.09"
"8954","643","-230","73","9","8.81"
"8955","282","-4","38","-14","7.42"
"8956","1390","-61","157","-5","8.85"
"8957","223","9","380","28","0.59"
"8958","2642","-55","174","18","15.18"
"8960","2245","-65","76","2","29.54"
"8961","985","32","34","-14","28.97"
"8963","60009","-547","2498","-151","24.02"
"8964","479","-129","65","8","7.37"
"8966","2935","595","405","-22","7.25"
"8967","136","24","301","-145","0.45"
"8968","718","-8","181","7","3.97"
"8972","991","511","424","-223","2.34"
"8975","11408","-79","318","-","35.87"
"8976","145","17","93","-15","1.56"
"8977","404","-98","387","10","1.04"
"8979","481","88","44","-","10.93"
"8984","989","-304","58","-36","17.05"
"8985","11576","-688","394","-53","29.38"
"8986","590","-54","24","4","24.58"
"8987","1434","-60","612","256","2.34"
