"SC","日付","始値","高値","安値","終値","VWAP","出来高","売買代金","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値"
"2971","20230808","116000","116500","115800","115800","116166.2083","509","59128600","116000","116300","115900","116200","116200","116500","115800","115800"
"2972","20230808","95800","96400","95200","96300","96099.5381","1299","124833300","95800","96000","95200","96000","96000","96400","95800","96300"
"2979","20230808","128000","129200","128000","128800","128677.2311","874","112463900","128000","129200","128000","129200","128900","129200","128100","128800"
"2989","20230808","119700","120100","119300","119400","119581.6921","721","86218400","119700","120100","119500","119900","119900","119900","119300","119400"
"3226","20230808","654000","655000","648000","648000","650544.6429","1120","728610000","654000","655000","651000","653000","653000","654000","648000","648000"
"3234","20230808","144700","145300","144100","145300","144928.8795","2365","342756800","144700","145100","144100","145100","145000","145300","144500","145300"
"3249","20230808","142800","142800","141400","142200","141916.8738","3218","456688500","142800","142800","141600","142200","142000","142200","141400","142200"
"3269","20230808","339000","339000","335500","337000","337242.1482","1592","536889500","339000","339000","337000","338500","337500","337500","335500","337000"
"3278","20230808","224000","224000","221100","221100","222239.5802","2001","444701400","224000","224000","222000","223600","223500","223500","221100","221100"
"3279","20230808","409500","410500","407000","410500","409344.3838","1282","524779500","409500","410500","407000","410000","409000","410500","408000","410500"
"3281","20230808","137300","137300","136000","136500","136503.9913","8719","1190178300","137300","137300","136200","136600","136600","136800","136000","136500"
"3282","20230808","330000","332000","328500","331500","330740.677","1743","576481000","330000","332000","328500","330500","331000","332000","329500","331500"
"3283","20230808","286700","288800","285900","288100","287307.4463","4566","1311845800","286700","287600","285900","287100","287000","288800","285900","288100"
"3287","20230808","633000","633000","624000","625000","627238.3966","474","297311000","633000","633000","624000","630000","628000","629000","625000","625000"
"3290","20230808","257800","257800","256600","256600","257046.8023","344","88424100","257800","257800","256600","257500","257200","257300","256600","256600"
"3292","20230808","149100","150000","148700","149100","149102.8768","2468","367985900","149100","150000","148700","149900","149900","149900","148700","149100"
"3295","20230808","166100","166600","165400","165800","165872.3566","1447","240017300","166100","166600","165400","166600","166600","166600","165400","165800"
"3296","20230808","341500","341500","339000","340000","340187.5969","645","219421000","341500","341500","339000","340500","340500","341000","340000","340000"
"3309","20230808","85500","85500","84000","84300","84466.7062","6752","570319200","85500","85500","84600","84600","84600","84700","84000","84300"
"3451","20230808","135600","135600","134700","134900","135041.5094","318","42943200","135600","135600","134700","135000","134800","135200","134800","134900"
"3453","20230808","284000","285900","282400","283400","284180.6209","1997","567508700","284000","285900","283100","285700","285200","285200","282400","283400"
"3455","20230808","148900","148900","147600","147900","147982.2281","754","111578600","148900","148900","147800","147800","147900","148000","147600","147900"
"3459","20230808","114100","114500","113600","114000","113984.9894","473","53914900","114100","114500","113800","114400","114300","114400","113600","114000"
"3462","20230808","173100","173100","171600","171900","172195.6595","7142","1229821400","173100","173100","171600","172300","172300","172600","171800","171900"
"3463","20230808","109500","109500","107800","108300","108415.4514","576","62447300","109500","109500","108300","108600","108400","108500","107800","108300"
"3466","20230808","150000","150000","148900","149300","149284.413","1976","294986000","150000","150000","149000","149700","149300","149500","148900","149300"
"3468","20230808","55800","56100","55100","55100","55732.4678","83646","4661798000","55800","56100","55300","56000","56000","56000","55100","55100"
"3470","20230808","128700","129000","128400","128400","128597.4843","318","40894000","128700","129000","128500","128700","128900","128900","128400","128400"
"3471","20230808","496500","496500","490500","493000","493175.301","3571","1761129000","496500","496500","490500","494500","495000","495000","492000","493000"
"3472","20230808","64500","64700","64200","64200","64418.4549","233","15009500","64500","64700","64200","64500","64400","64500","64200","64200"
"3476","20230808","46500","46600","46250","46450","46441.6346","1817","84384450","46500","46600","46250","46550","46550","46550","46300","46450"
"3481","20230808","396500","397000","393500","395500","394982.399","767","302951500","396500","397000","393500","395500","395500","396000","394000","395500"
"3487","20230808","171300","172000","170700","171400","171229.3624","1192","204105400","171300","172000","170700","172000","171600","171900","170700","171400"
