"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"2971","エスコンジャパンリート投資法人","東証","REIT","20240301","114500","-900","-0.78","115400","115000","115000","114000","1293","147954","-","85400","145400"
"2972","サンケイリアルエステート投資法人","東証","REIT","20240301","85100","300","0.35","84800","85200","86000","83900","6344","539187","-","69800","99800"
"2979","SOSiLA物流リート投資法人","東証","REIT","20240301","112700","-900","-0.79","113600","113600","113900","112600","2512","283918","-","83600","143600"
"2989","東海道リート投資法人","東証","REIT","20240301","122700","200","0.16","122500","123000","123500","122300","976","119920","-","92500","152500"
"3226","日本アコモデーションファンド投資法人","東証","REIT","20240301","566000","-2000","-0.35","568000","568000","570000","562000","1381","781817","-","468000","668000"
"3234","森ヒルズリート投資法人","東証","REIT","20240301","130200","-900","-0.69","131100","131300","131300","129900","5010","653440","-","101100","161100"
"3249","産業ファンド投資法人","東証","REIT","20240301","126100","100","0.08","126000","128000","128200","125000","26830","3396498","-","96000","156000"
"3269","アドバンス・レジデンス投資法人","東証","REIT","20240301","305000","-1000","-0.33","306000","307500","307500","303500","4388","1341616","-","236000","376000"
"3279","アクティビア・プロパティーズ投資法人","東証","REIT","20240301","388500","-1000","-0.26","389500","388000","393000","385500","2404","935535","-","319500","459500"
"3281","GLP投資法人","東証","REIT","20240301","117400","-1500","-1.26","118900","120000","120200","117000","28271","3341728","-","88900","148900"
"3282","コンフォリア・レジデンシャル投資法人","東証","REIT","20240301","282400","-4300","-1.5","286700","287200","287300","282300","2742","778431","-","236700","337000"
"3283","日本プロロジスリート投資法人","東証","REIT","20240301","248200","-2400","-0.96","250600","252500","254900","247300","8669","2165851","-","200600","301000"
"3287","星野リゾート・リート投資法人","東証","REIT","20240301","551000","1000","0.18","550000","553000","555000","547000","954","525672","-","450000","650000"
"3290","Oneリート投資法人","東証","REIT","20240301","251200","-3400","-1.34","254600","254800","256100","251200","1458","368693","-","204600","305000"
"3292","イオンリート投資法人","東証","REIT","20240301","131200","-300","-0.23","131500","131700","131900","130600","5683","746066","-","101500","161500"
"3295","ヒューリックリート投資法人","東証","REIT","20240301","145200","-1200","-0.82","146400","146700","147100","144500","4107","596686","-","116400","176400"
"3296","日本リート投資法人","東証","REIT","20240301","327000","-1000","-0.3","328000","330000","330000","326500","1486","487326","-","258000","398000"
"3309","積水ハウス・リート投資法人","東証","REIT","20240301","74100","0","0","74100","74300","74600","73700","13709","1015560","-","59100","89100"
"3451","トーセイ・リート投資法人","東証","REIT","20240301","137100","-800","-0.58","137900","138200","138400","137100","1013","139314","-","107900","167900"
"3455","ヘルスケア＆メディカル投資法人","東証","REIT","20240301","128500","-1700","-1.31","130200","131000","131000","128300","1107","142819","-","100200","160200"
"3459","サムティ・レジデンシャル投資法人","東証","REIT","20240301","100900","-1000","-0.98","101900","101600","101800","100700","2769","280039","-","71900","131900"
"3462","野村不動産マスターファンド投資法人","東証","REIT","20240301","144800","-4100","-2.75","148900","149500","149600","144800","16556","2422020","-","118900","178900"
"3463","いちごホテルリート投資法人","東証","REIT","20240301","106000","-1000","-0.93","107000","107000","107000","104900","2188","231872","-","77000","137000"
"3466","ラサールロジポート投資法人","東証","REIT","20240301","141600","700","0.5","140900","141300","141800","140300","4721","667272","-","110900","170900"
