"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","出来高","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限"
"2971","エスコンジャパンリート投資法人","東証","REIT","20231214","114700","100","0.09","114600","115100","115200","114600","708","81282","-","84600","144600"
"2972","サンケイリアルエステート投資法人","東証","REIT","20231214","91100","800","0.89","90300","90500","91300","90500","1038","94396","-","75300","105300"
"2979","SOSiLA物流リート投資法人","東証","REIT","20231214","120200","1400","1.18","118800","119300","120500","119200","3418","410469","-","88800","148800"
"2989","東海道リート投資法人","東証","REIT","20231214","124300","-1100","-0.88","125400","125700","125700","124300","374","46695","-","95400","155400"
"3226","日本アコモデーションファンド投資法人","東証","REIT","20231214","609000","0","0","609000","610000","613000","606000","703","428435","-","509000","709000"
"3234","森ヒルズリート投資法人","東証","REIT","20231214","138800","-400","-0.29","139200","139000","139600","138500","1977","274627","-","109200","169200"
"3249","産業ファンド投資法人","東証","REIT","20231214","136400","200","0.15","136200","136600","137200","136300","4110","561826","-","106200","166200"
"3269","アドバンス・レジデンス投資法人","東証","REIT","20231214","322000","-2500","-0.77","324500","324500","325500","320500","2685","865424","-","254500","394500"
"3279","アクティビア・プロパティーズ投資法人","東証","REIT","20231214","388500","-6000","-1.52","394500","393500","394500","388500","1992","776892","-","324500","464500"
"3281","GLP投資法人","東証","REIT","20231214","139100","1300","0.94","137800","138600","139600","137900","13072","1814548","-","107800","167800"
"3282","コンフォリア・レジデンシャル投資法人","東証","REIT","20231214","325000","-2500","-0.76","327500","326500","328500","324000","1972","642543","-","257500","397500"
"3283","日本プロロジスリート投資法人","東証","REIT","20231214","264900","-700","-0.26","265600","266600","268400","264500","6407","1705141","-","215600","316000"
"3287","星野リゾート・リート投資法人","東証","REIT","20231214","600000","1000","0.17","599000","600000","603000","600000","401","241139","-","499000","699000"
"3290","Oneリート投資法人","東証","REIT","20231214","258900","-2600","-0.99","261500","262700","262700","258400","476","123555","-","211500","311500"
"3292","イオンリート投資法人","東証","REIT","20231214","140200","500","0.36","139700","139600","140600","139300","5045","706232","-","109700","169700"
