"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1301","20240222","2","838100","-29400","1262800","122800","0.66","800400","-27600","1237200","113000","37700","-1800","25600","9800"
"130A","20240222","1","416800","82600","1000","100","416.8","324500","65600","-","-","92300","17000","1000","100"
"1332","20240222","2","853400","-65500","404700","8700","2.11","451400","-59200","346000","5200","402000","-6300","58700","3500"
"1333","20240222","2","497200","5300","64200","100","7.74","146300","1500","19300","600","350900","3800","44900","-500"
"135A","20240222","3","555500","555500","-","-","-","-","-","-","-","555500","555500","-","-"
"1375","20240222","1","142300","-5700","3700","700","38.46","31600","-3900","-","-","110700","-1800","3700","700"
"1376","20240222","1","38400","-3700","-","-","-","26400","-4200","-","-","12000","500","-","-"
"1377","20240222","2","193000","-37000","21800","900","8.85","147900","-32000","11000","1100","45100","-5000","10800","-200"
"1379","20240222","2","38200","-6600","6000","-400","6.37","25800","-5800","2500","-1400","12400","-800","3500","1000"
"1380","20240222","1","4700","-400","-","-","-","1300","300","-","-","3400","-700","-","-"
"1381","20240222","1","21500","-2700","100","-","215","8200","-","-","-","13300","-2700","100","-"
"1382","20240222","1","71700","-1000","-","-","-","55000","-1100","-","-","16700","100","-","-"
"1383","20240222","1","26400","1800","-","-","-","23600","1600","-","-","2800","200","-","-"
"1384","20240222","1","200500","-6600","-","-","-","62100","-800","-","-","138400","-5800","-","-"
"1401","20240222","1","81100","1500","-","-","-","45900","-1300","-","-","35200","2800","-","-"
"1407","20240222","2","287700","42200","40300","-20100","7.14","158400","40200","40000","-20100","129300","2000","300","-"
"1414","20240222","2","79400","7800","35900","-600","2.21","65300","6400","9800","-600","14100","1400","26100","-"
"1417","20240222","2","170600","13000","17900","-600","9.53","109800","300","9200","200","60800","12700","8700","-800"
"1418","20240222","2","620000","-4700","19500","2100","31.79","503100","-2800","19500","2100","116900","-1900","-","-"
"1419","20240222","2","250500","-31800","443900","-5900","0.56","160300","-24900","257100","-5800","90200","-6900","186800","-100"
"1420","20240222","2","41600","-3600","1600","300","26","26200","-1900","1600","300","15400","-1700","-","-"
"1429","20240222","2","726400","-173100","15000","-3200","48.43","200800","-153000","15000","-3200","525600","-20100","-","-"
"1430","20240222","2","79700","-300","3300","700","24.15","58000","-200","3300","700","21700","-100","-","-"
