"SC","申込日","信用貸借区分","信用買残高","信用買残高 前週比","信用売残高","信用売残高 前週比","貸借倍率","制度信用買残高","制度信用買残高 前週比","制度信用売残高","制度信用売残高 前週比","一般信用買残高","一般信用買残高 前週比","一般信用売残高","一般信用売残高 前週比"
"1301","20230630","2","28600","100","2900","-800","9.86","15400","300","2800","-800","13200","-200","100","-"
"1332","20230630","2","1635600","-226900","312500","7800","5.23","521500","-226600","271800","7800","1114100","-300","40700","-"
"1333","20230630","2","810000","17500","50500","3600","16.04","234900","7400","10900","3500","575100","10100","39600","100"
"1375","20230630","1","199000","-17500","13300","-","14.96","103000","-16200","-","-","96000","-1300","13300","-"
"1376","20230630","1","16400","700","-","-","-","9200","-400","-","-","7200","1100","-","-"
"1377","20230630","2","67700","-3900","19300","-1400","3.51","51000","-3000","6900","-","16700","-900","12400","-1400"
"1379","20230630","2","33400","2900","40400","-600","0.83","30200","2900","5300","-600","3200","-","35100","-"
"1380","20230630","1","3200","-100","-","-","-","400","-200","-","-","2800","100","-","-"
"1381","20230630","1","5200","700","-","-","-","4200","200","-","-","1000","500","-","-"
"1382","20230630","1","19400","-1500","100","100","194","7100","-1400","-","-","12300","-100","100","100"
"1383","20230630","1","7500","-300","-","-","-","6100","-300","-","-","1400","-","-","-"
"1384","20230630","1","168900","-6100","-","-","-","46900","-500","-","-","122000","-5600","-","-"
"1400","20230630","1","590300","-4400","-","-","-","328100","-6400","-","-","262200","2000","-","-"
"1401","20230630","1","57000","1900","-","-","-","16700","2100","-","-","40300","-200","-","-"
"1407","20230630","2","642800","62200","96500","-34900","6.66","457400","52300","83700","-41600","185400","9900","12800","6700"
"1414","20230630","2","74300","-1100","32200","2700","2.31","55100","-500","10700","1300","19200","-600","21500","1400"
"1417","20230630","2","78400","-30300","25700","600","3.05","49600","-26700","14800","600","28800","-3600","10900","-"
"1418","20230630","2","858300","-14800","296600","-14000","2.89","678100","-18500","296600","-14000","180200","3700","-","-"
"1419","20230630","2","699900","-36700","757100","5200","0.92","576200","-33400","729600","7200","123700","-3300","27500","-2000"
"1420","20230630","2","21400","500","2500","-","8.56","14300","1200","2500","-","7100","-700","-","-"
"1429","20230630","2","354300","-22700","32900","-2300","10.77","210200","-31600","32900","-2300","144100","8900","-","-"
"1430","20230630","2","181600","-19400","60000","-900","3.03","128800","-20600","60000","-900","52800","1200","-","-"
"1431","20230630","2","59300","8300","142200","-16100","0.42","37200","4700","142200","-16100","22100","3600","-","-"
"1433","20230630","2","365800","-30600","171000","-23000","2.14","158900","-25200","169000","-23000","206900","-5400","2000","-"
"1434","20230630","2","179000","-8400","2300","-100","77.83","57000","500","2300","-100","122000","-8900","-","-"
"1435","20230630","1","2237500","62800","3000","-","745.83","947700","70100","-","-","1289800","-7300","3000","-"
