"SC","日付","始値","高値","安値","終値","VWAP","出来高","売買代金","前場始値","前場高値","前場安値","前場終値","後場始値","後場高値","後場安値","後場終値"
"1301","20230915","4040","4055","4025","4030","4037.723","21300","86003500","4040","4055","4025","4045","4040","4045","4030","4030"
"1332","20230915","773","775.9","764.5","767.5","770.2326","1565800","1206030200","773","775.9","770.7","774","774","774.7","764.5","767.5"
"1333","20230915","2680","2683","2654","2664.5","2666.0991","211500","563879950","2680","2683","2659","2671.5","2674","2675","2654","2664.5"
"1375","20230915","922","927","919","925","923.9644","132100","122055700","922","926","919","926","923","927","923","925"
"1376","20230915","1433","1433","1422","1429","1429.2344","19200","27441300","1433","1433","1422","1427","1427","1431","1423","1429"
"1377","20230915","4330","4370","4290","4365","4350.7743","114300","497293500","4330","4360","4290","4350","4355","4370","4330","4365"
"1379","20230915","1856","1866","1849","1861","1858.64","98600","183261900","1856","1858","1849","1855","1856","1866","1856","1861"
"1380","20230915","1048","1050","1045","1050","1048.3","1000","1048300","1048","1050","1045","1050","1050","1050","1046","1050"
"1381","20230915","2975","2998","2968","2998","2980.3333","300","894100","2975","2998","2968","2998","-","-","-","-"
"1382","20230915","2855","3050","2619","2757","2845.8328","1505800","4285255000","2855","3005","2619","2950","3000","3050","2640","2757"
"1383","20230915","3145","3145","3135","3135","3140","700","2198000","3145","3145","3135","3145","3135","3135","3135","3135"
"1384","20230915","1100","1118","1071","1074","1086.5488","94200","102352900","1100","1118","1077","1082","1083","1088","1071","1074"
"1400","20230915","127","127","124","124","126.2759","17400","2197200","127","127","126","127","127","127","124","124"
"1401","20230915","547","547","534","536","540.646","11300","6109300","547","547","534","539","539","543","536","536"
"1407","20230915","3200","3240","3130","3175","3169.7919","528500","1675235000","3200","3240","3130","3150","3155","3180","3145","3175"
"1414","20230915","5992","5992","5931","5944","5947.6251","164300","977194800","5992","5992","5947","5947","5952","5959","5931","5944"
"1417","20230915","2026.5","2053.5","2026.5","2042.5","2043.2267","282300","576802900","2026.5","2050","2026.5","2047.5","2047.5","2053.5","2038.5","2042.5"
"1418","20230915","199","199","195","198","197.3214","25200","4972500","199","199","198","199","198","199","195","198"
"1419","20230915","3585","3605","3570","3600","3593.951","143000","513935000","3585","3605","3570","3595","3595","3605","3590","3600"
"1420","20230915","729","730","728","730","729.1515","6600","4812400","729","730","728","730","730","730","728","730"
"1429","20230915","1095","1099","1034","1039","1058.6276","231200","244754700","1095","1099","1058","1058","1055","1055","1034","1039"
"1430","20230915","777","789","777","788","784.5845","37300","29265000","777","785","777","784","783","789","783","788"
"1431","20230915","800","803","798","801","800.1938","12900","10322500","800","800","798","800","800","803","799","801"
"1433","20230915","939","967","932","959","950.9404","92300","87771800","939","967","932","954","954","959","943","959"
"1434","20230915","635","639","621","626","628.5821","62700","39412100","635","639","626","629","629","629","621","626"
"1435","20230915","204","206","203","205","204.537","117700","24074000","204","206","203","204","205","206","204","205"
"1436","20230915","786","818","785","815","806.3874","11100","8950900","786","814","785","808","812","818","806","815"
"1438","20230915","1749","1749","1732","1747","1744","1100","1918400","1749","1749","1732","1732","1739","1747","1739","1747"
"1439","20230915","1256","1286","1255","1280","1270.5714","4200","5336400","1256","1274","1255","1263","1269","1286","1269","1280"
"1443","20230915","222","222","220","221","221.2788","20800","4602600","222","222","221","222","221","222","220","221"
"1444","20230915","2365","2368","2335","2366","2362.9394","9900","23393100","2365","2368","2340","2340","2335","2366","2335","2366"
"1446","20230915","624","625","622","622","623.7472","26900","16778800","624","625","623","624","624","625","622","622"
"1447","20230915","360","360","345","349","351.202","107400","37719100","360","360","346","348","348","349","345","349"
"1450","20230915","2208","2208","2176","2198","2189.7692","1300","2846700","2208","2208","2176","2199","2198","2198","2197","2198"
"1451","20230915","729","732","727","729","728.9875","8000","5831900","729","729","727","728","729","732","728","729"
"1491","20230915","31","33","31","32","32.0155","2880200","92211000","31","33","31","32","32","33","31","32"
"1514","20230915","436","455","434","453","446.2072","1217400","543212600","436","452","434","447","447","455","442","453"
"1515","20230915","5460","5540","5420","5430","5470.9659","52800","288867000","5460","5540","5460","5530","5530","5530","5420","5430"
"1518","20230915","2861","2908","2861","2874","2885.4543","370500","1069060800","2861","2908","2861","2884","2885","2889","2866","2874"
"1605","20230915","2300","2352","2279","2304","2314.5083","20257400","46885921250","2300","2341","2288","2336.5","2337","2352","2279","2304"
"1662","20230915","5720","5790","5640","5700","5723.4786","571200","3269251000","5720","5790","5640","5780","5790","5790","5660","5700"
"1663","20230915","2493","2608","2480","2587","2550.7611","231100","589480900","2493","2537","2480","2512","2507","2608","2503","2587"
"1711","20230915","242","258","239","253","248.7424","160700","39972900","242","258","239","249","249","254","239","253"
"1712","20230915","1262","1264","1229","1244","1242.8417","96000","119312800","1262","1264","1229","1242","1239","1249","1239","1244"
"1716","20230915","1339","1339","1322","1328","1330.2086","30200","40172300","1339","1339","1327","1327","1329","1332","1322","1328"
"1717","20230915","750","750","742","742","744.825","20000","14896500","750","750","745","745","745","746","742","742"
"1718","20230915","4485","4600","4485","4520","4519.3333","1500","6779000","4485","4600","4485","4495","4520","4520","4520","4520"
"1719","20230915","1253","1271","1251","1263","1262.9968","709900","896601400","1253","1271","1251","1266","1268","1268","1260","1263"
"1720","20230915","833","845","831","836","837.3668","609600","510458800","833","842","831","842","840","845","834","836"
"1721","20230915","3250","3294","3236","3275","3274.0599","677600","2218503000","3250","3291","3236","3289","3285","3294","3272","3275"
"1723","20230915","4380","4440","4380","4430","4416.5556","4500","19874500","4380","4440","4380","4440","4440","4440","4410","4430"
"1724","20230915","673","679","669","673","673.3551","10700","7204900","673","677","669","669","674","679","673","673"
"1726","20230915","386","388","384","387","385.9856","159600","61603300","386","388","384","386","387","387","385","387"
"1730","20230915","429","434","425","425","432.3276","5800","2507500","429","434","426","433","432","434","425","425"
"1736","20230915","2618","2674","2618","2669","2642.8772","5700","15064400","2618","2670","2618","2660","2674","2674","2619","2669"
"1739","20230915","827","841","825","836","832.8696","13800","11493600","827","841","825","834","833","836","827","836"
"1743","20230915","1296","1297","1283","1283","1291.1579","1900","2453200","1296","1297","1284","1293","1285","1295","1283","1283"
"1757","20230915","35","36","34","34","34.628","2915800","100968200","35","36","34","35","34","35","34","34"
"1758","20230915","2171","2171","2130","2141","2143.6842","1900","4073000","2171","2171","2140","2160","2140","2141","2130","2141"
"1762","20230915","2695","2723","2690","2712","2710.5522","76600","207628300","2695","2716","2690","2712","2722","2723","2711","2712"
"1764","20230915","2501","2534","2493","2534","2504.7143","700","1753300","2501","2510","2493","2493","2534","2534","2534","2534"
"1766","20230915","8100","8100","8050","8060","8073.5565","23900","192958000","8100","8100","8060","8090","8060","8090","8050","8060"
"1768","20230915","1020","1025","1003","1003","1014.9118","6800","6901400","1020","1025","1020","1020","1020","1024","1003","1003"
"1770","20230915","1075","1084","1074","1074","1075.9048","2100","2259400","1075","1084","1075","1084","1081","1081","1074","1074"
"1773","20230915","47","49","46","48","48.2865","384000","18542000","47","49","46","48","49","49","48","48"
